"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000021750"	5.35704929444503	2.42235819273574	2.13960097854934e-51	2.62978356273499e-47
"ENSMUSG00000003134"	1.80392619767104	5.05723901325256	5.83909371228869e-47	3.58841504088701e-43
"ENSMUSG00000042246"	2.17114873126436	3.89519804426693	1.55226401737232e-37	6.35962567917441e-34
"ENSMUSG00000066687"	2.94117763315805	5.12628093122542	3.60713381159875e-31	1.10838204195901e-27
"ENSMUSG00000021453"	2.8442464055102	4.81636589646021	2.2153189017271e-30	5.44569692422555e-27
"ENSMUSG00000008035"	-2.14257495696832	6.38515324544281	4.75179160565147e-27	9.73404510417703e-24
"ENSMUSG00000011305"	1.45422535908135	5.94743689831812	2.72139252385144e-26	4.77837650152258e-23
"ENSMUSG00000071369"	1.02256616796641	5.69844537591709	1.13430540294829e-25	1.74271846345467e-22
"ENSMUSG00000024052"	1.12740033424025	9.05793567477739	1.15535699462568e-24	1.57783253566047e-21
"ENSMUSG00000020593"	2.62942938100072	9.26738837030089	1.45343253697724e-24	1.78641393119873e-21
"ENSMUSG00000105703"	2.49333433905249	6.55548535242695	1.91819365273514e-24	2.14331983506978e-21
"ENSMUSG00000038582"	1.19200583084554	5.09417835153489	2.66671028532568e-24	2.73137800974483e-21
"ENSMUSG00000047822"	-2.64798626302285	5.38146373154836	7.88730386120824e-24	7.45714244293157e-21
"ENSMUSG00000056608"	1.56810692785984	6.86701729221329	1.79846470353502e-23	1.57892354793921e-20
"ENSMUSG00000028862"	1.91331912388636	1.68133662391085	4.49369553875489e-23	3.68213412445576e-20
"ENSMUSG00000018604"	-1.62242649270712	4.05470777660108	1.74191414250541e-22	1.33811667034587e-19
"ENSMUSG00000030909"	-1.12144536427389	5.94839772776509	1.90192218469213e-22	1.37508973953241e-19
"ENSMUSG00000032220"	0.992998896560109	5.78324674268146	2.35072111040355e-22	1.60515073155389e-19
"ENSMUSG00000027962"	1.60350957814005	4.18141752508447	2.14837406453918e-21	1.38977187511848e-18
"ENSMUSG00000050423"	3.93947706539396	2.97022260813437	1.27299233005373e-20	7.82317436434522e-18
"ENSMUSG00000024222"	1.84167550159055	6.96821636800394	2.08618599471927e-20	1.22101486005212e-17
"ENSMUSG00000029167"	1.42154489781967	2.99948233584437	2.60593546322972e-20	1.45588876266166e-17
"ENSMUSG00000022388"	2.45394936167394	1.07506990248321	6.40081339860761e-20	3.42053902096896e-17
"ENSMUSG00000023150"	1.06875039468804	7.29914092641729	9.21637848280109e-20	4.6516166614581e-17
"ENSMUSG00000028680"	2.07061733980942	6.73533534481161	9.46142840586221e-20	4.6516166614581e-17
"ENSMUSG00000052934"	0.912771183787053	6.69571130088767	1.40666985653956e-18	6.64976123335682e-16
"ENSMUSG00000033618"	1.06120857672071	4.40070796559874	6.63293580158249e-18	3.01945977545372e-15
"ENSMUSG00000090264"	1.65908661546664	5.92096965268438	7.45819260699159e-18	3.27388019044763e-15
"ENSMUSG00000000915"	1.11645097409901	5.47442512125151	1.22308134358733e-17	5.18375613587305e-15
"ENSMUSG00000048706"	0.928320571577322	5.78978891835347	2.99127941422815e-17	1.22552717600927e-14
"ENSMUSG00000054855"	1.20897782486245	3.28806938939864	4.62092555080771e-17	1.83212244983799e-14
"ENSMUSG00000021133"	0.947481934075971	6.47421120308079	6.03242656202517e-17	2.31701733980785e-14
"ENSMUSG00000008845"	1.12656824469601	4.44360174674246	7.87119575701366e-17	2.93166263786227e-14
"ENSMUSG00000030852"	1.0054734875075	4.74115758338883	1.04357209748434e-16	3.77251313240588e-14
"ENSMUSG00000034177"	-1.19667868393502	4.45064758439115	1.10191527192819e-16	3.86961160207698e-14
"ENSMUSG00000055322"	0.84142971440875	7.61422741382362	2.19349874582139e-16	7.48897030135855e-14
"ENSMUSG00000039782"	1.37820300437691	5.52246743924182	2.57891394176056e-16	8.56687331302138e-14
"ENSMUSG00000038648"	0.971419107881803	5.20819999877248	4.31051395222621e-16	1.3942243943898e-13
"ENSMUSG00000009569"	0.86783956472405	4.75914872083365	5.53950523939368e-16	1.7457963819843e-13
"ENSMUSG00000020423"	1.30223585180212	3.21570197315939	1.18036053075147e-15	3.62695282086658e-13
"ENSMUSG00000024589"	0.913386030528601	5.01162514525043	1.3181150942061e-15	3.95145185924076e-13
"ENSMUSG00000026072"	1.5407299450159	5.99382739351806	1.37406607419954e-15	4.02110621856823e-13
"ENSMUSG00000035969"	1.21791054831078	5.10647696681396	2.52987342084443e-15	7.231319585023e-13
"ENSMUSG00000026317"	0.9035788901527	5.58725536995001	2.94936713631401e-15	8.23878897100808e-13
"ENSMUSG00000026116"	0.748533572449743	5.50658461503279	3.28537620882473e-15	8.97345755170327e-13
"ENSMUSG00000023067"	2.46592406354953	2.18631575899736	5.94228809618782e-15	1.58775354326619e-12
"ENSMUSG00000031596"	0.79818950738863	9.67739745394945	1.10305368765935e-14	2.88460273936618e-12
"ENSMUSG00000047230"	-0.856109836937519	5.69070551424706	1.16474342748965e-14	2.98247113901569e-12
"ENSMUSG00000001542"	0.983578831417609	6.11545034707237	1.51566711119074e-14	3.80184989053989e-12
"ENSMUSG00000019944"	1.01109195025456	6.64945730409717	1.68278922011397e-14	4.13663246088416e-12
"ENSMUSG00000041025"	-1.04243421004484	4.28207486582562	2.12835286440631e-14	5.12933040321922e-12
"ENSMUSG00000101517"	0.935915490737484	3.57332749089316	3.01145889584659e-14	7.03710722333121e-12
"ENSMUSG00000028300"	1.08008714430196	3.71094347125294	3.03446979771015e-14	7.03710722333121e-12
"ENSMUSG00000025195"	0.94228499496952	5.87892461363002	5.12368076899025e-14	1.1662066728085e-11
"ENSMUSG00000066406"	0.729735549337365	6.48070491133908	6.27180998839477e-14	1.40157848304291e-11
"ENSMUSG00000056749"	1.36940911061085	4.38335582346716	6.61947845603438e-14	1.45285731612712e-11
"ENSMUSG00000056091"	1.12584709323811	7.82731653942108	7.60785954775095e-14	1.64049476669135e-11
"ENSMUSG00000042213"	0.863566565749862	4.33559320694337	1.18650005804337e-13	2.51435727817432e-11
"ENSMUSG00000022178"	-1.27978396984548	2.93171130242463	1.60336731179705e-13	3.34016739479619e-11
"ENSMUSG00000020429"	2.69306698848821	6.01901244746523	1.67469216965594e-13	3.4306069095402e-11
"ENSMUSG00000038342"	0.82207767742278	3.96033075939145	2.81651524835378e-13	5.67504736352726e-11
"ENSMUSG00000038007"	0.827261443276908	4.31993966190556	3.51976588005942e-13	6.9776520051307e-11
"ENSMUSG00000042622"	1.62647004937153	3.23095804745315	3.68372970759872e-13	7.18678124382474e-11
"ENSMUSG00000028893"	1.25601800102808	4.04104992397358	3.93544811829598e-13	7.55790512843373e-11
"ENSMUSG00000040661"	0.796481067881026	5.85462293290586	4.1344900141111e-13	7.8180025789907e-11
"ENSMUSG00000032194"	-0.839099950706255	5.60124249402203	5.45563749261523e-13	1.01598849123839e-10
"ENSMUSG00000041132"	0.741491220497135	6.08379667821282	8.67431237723902e-13	1.59128318550216e-10
"ENSMUSG00000023272"	1.02608536285186	5.28837392618975	9.47860970179379e-13	1.71325870359923e-10
"ENSMUSG00000036611"	-0.968146070696905	4.19898755771503	1.01571105114052e-12	1.80929051153162e-10
"ENSMUSG00000028088"	0.770203348133044	10.6987706772976	1.43477051003637e-12	2.51925204840815e-10
"ENSMUSG00000034858"	0.997088509124616	6.19310617605657	1.6176042614392e-12	2.80027802497876e-10
"ENSMUSG00000007659"	0.876970837554064	5.56000533747925	1.88374354345128e-12	3.21570720729995e-10
"ENSMUSG00000045094"	0.892227816461282	4.30124348937781	2.02145701440858e-12	3.40352440604053e-10
"ENSMUSG00000020538"	-1.14757994893611	9.11705123600401	2.4649763273207e-12	4.0665182259269e-10
"ENSMUSG00000091144"	2.15289326689911	2.94107051177057	2.48139994259635e-12	4.0665182259269e-10
"ENSMUSG00000027947"	1.03772419225906	6.75562209264677	2.57275211584023e-12	4.1607495073411e-10
"ENSMUSG00000044813"	1.04816677819034	5.75096626883056	4.05977111623605e-12	6.48034373891654e-10
"ENSMUSG00000034903"	0.656431287573906	5.86650945632486	4.58791303313443e-12	7.22949219105837e-10
"ENSMUSG00000026409"	0.966668045525856	3.81259545418762	6.34972557666502e-12	9.87904772946706e-10
"ENSMUSG00000031595"	2.78777440822392	0.95754890531359	6.6494112913796e-12	1.02159892727933e-09
"ENSMUSG00000047731"	0.64284652978258	8.63300046578195	7.3153310349433e-12	1.11003375000603e-09
"ENSMUSG00000038375"	0.728184002912188	8.33760132604512	8.3726330850328e-12	1.2549760152212e-09
"ENSMUSG00000025340"	0.836638212499239	4.09169822815929	9.54184307997837e-12	1.41299750959053e-09
"ENSMUSG00000002831"	1.85181959990782	4.2411156589238	1.24123425826565e-11	1.81619169861228e-09
"ENSMUSG00000030103"	-0.903494878357696	7.29173199223556	1.47163222627668e-11	2.12798019919608e-09
"ENSMUSG00000030551"	-0.822330475038703	4.55453674123885	1.71820355854738e-11	2.45563255094254e-09
"ENSMUSG00000037408"	0.963224528205934	2.51552824754164	1.90728365500987e-11	2.69453142571567e-09
"ENSMUSG00000028982"	1.16560368503115	4.75548711340467	2.80577217149191e-11	3.91883474543262e-09
"ENSMUSG00000022270"	0.801965619840914	5.94606435497692	2.97413696545907e-11	4.10731656656825e-09
"ENSMUSG00000029370"	-0.806814239698845	2.96978768522358	3.41175978209433e-11	4.65932660908016e-09
"ENSMUSG00000044254"	-0.905199720539158	5.938634070512	4.18419630409459e-11	5.62619772566944e-09
"ENSMUSG00000038859"	0.742023318899707	5.461675852789	4.21129436792441e-11	5.62619772566944e-09
"ENSMUSG00000026870"	-0.678195129787027	4.85387339924772	6.41810676598078e-11	8.48225271620104e-09
"ENSMUSG00000022299"	0.959390136268412	5.40757350604755	6.51369376859427e-11	8.51700107550981e-09
"ENSMUSG00000021789"	2.25577734737113	0.132695436645604	7.08517103306445e-11	9.16671970183107e-09
"ENSMUSG00000049550"	0.616548864335367	5.89433415518243	7.94389105075571e-11	1.01706630109207e-08
"ENSMUSG00000030691"	0.666894905106646	4.94745721595246	8.409839801317e-11	1.0656220721442e-08
"ENSMUSG00000029385"	1.04273719629623	3.49346184922421	8.70754007185625e-11	1.09208545942026e-08
"ENSMUSG00000044991"	0.953253895808858	2.67563807312266	9.08151223377504e-11	1.12528064418903e-08
"ENSMUSG00000002289"	1.1105733084216	7.30490272905626	9.15532213968785e-11	1.12528064418903e-08
"ENSMUSG00000019947"	1.24867653528454	6.74132808671031	9.55841466516021e-11	1.16319281831172e-08
"ENSMUSG00000027313"	1.92337926683417	2.87131972667817	1.10744972063656e-10	1.3264325984523e-08
"ENSMUSG00000020689"	1.0939037051484	2.36004390829197	1.11156584200298e-10	1.3264325984523e-08
"ENSMUSG00000045817"	0.882872242156949	5.60400196193509	1.13137410827172e-10	1.33708838122766e-08
"ENSMUSG00000047492"	-1.13387387893991	5.23536593327741	1.22772381562373e-10	1.43713842074584e-08
"ENSMUSG00000038754"	1.38978959278663	6.03388171510951	1.48875224691442e-10	1.71437748551323e-08
"ENSMUSG00000022237"	0.906510543356488	5.59981590056621	1.49246107680348e-10	1.71437748551323e-08
"ENSMUSG00000037035"	1.53816072466213	1.4175217611849	1.55076684881311e-10	1.76485882766314e-08
"ENSMUSG00000044197"	-0.840187759450267	6.86010997350278	1.67535702796099e-10	1.88915717712556e-08
"ENSMUSG00000033917"	0.778412292455683	6.25488079013208	1.6967231035036e-10	1.89585669683297e-08
"ENSMUSG00000018387"	-0.964982072374705	5.11097303848226	1.73419804087522e-10	1.9202728036394e-08
"ENSMUSG00000031762"	1.72342223952079	5.9139015556592	1.83584332248698e-10	2.01467413184709e-08
"ENSMUSG00000031668"	0.773919753829968	4.37082900825519	2.16718083386973e-10	2.35724067514096e-08
"ENSMUSG00000040648"	0.744330767760385	5.5885523048812	2.74454540181471e-10	2.95905329243022e-08
"ENSMUSG00000058761"	0.678669448112172	5.92459649197195	3.1557503090538e-10	3.35454748878926e-08
"ENSMUSG00000028195"	-1.11498703771027	2.60461262869028	3.16595483442807e-10	3.35454748878926e-08
"ENSMUSG00000084839"	1.08561539997577	3.3068074302049	3.19744420049765e-10	3.35895612549714e-08
"ENSMUSG00000023800"	-0.884454534632307	3.31193430093617	3.26934445818756e-10	3.40538243521893e-08
