	logFC	logCPM	PValue	FDR
ENSMUSG00000109089	1.859718365	3.662634086	2.70E-30	3.94E-28
ENSMUSG00000050445	1.952331897	9.498452036	2.72E-30	3.94E-28
ENSMUSG00000031924	-1.543369552	8.580867259	4.14E-30	5.92E-28
ENSMUSG00000022218	-1.546468225	3.97834879	5.67E-30	8.02E-28
ENSMUSG00000026259	-1.367895882	5.193390838	1.03E-29	1.43E-27
ENSMUSG00000042476	1.322150464	8.292170769	1.11E-29	1.54E-27
ENSMUSG00000003053	-2.096012834	11.54884694	1.42E-29	1.94E-27
ENSMUSG00000025260	1.288066866	7.966313343	3.43E-29	4.64E-27
ENSMUSG00000032902	1.45254009	5.490623349	5.09E-29	6.82E-27
ENSMUSG00000026074	1.468860337	3.679820176	5.51E-29	7.29E-27
ENSMUSG00000109473	4.068587816	1.088873111	6.92E-29	9.05E-27
ENSMUSG00000030827	5.664263097	2.575430165	7.62E-29	9.87E-27
ENSMUSG00000074768	2.758495697	12.93111735	8.51E-29	1.09E-26
ENSMUSG00000025981	-1.953806333	5.042434462	1.24E-28	1.57E-26
ENSMUSG00000078937	2.757928441	2.786783381	1.69E-28	2.12E-26
ENSMUSG00000018900	1.586928098	5.705846994	1.98E-28	2.46E-26
ENSMUSG00000059743	-2.505489187	5.933173186	2.48E-28	3.05E-26
ENSMUSG00000016024	1.420673147	7.332415291	2.66E-28	3.24E-26
ENSMUSG00000021226	2.522762564	3.669612451	2.72E-28	3.28E-26
ENSMUSG00000026435	2.061119353	5.958145484	2.84E-28	3.38E-26
ENSMUSG00000030364	-4.342565322	2.565276131	3.13E-28	3.70E-26
ENSMUSG00000044748	3.122374769	0.968299164	3.33E-28	3.90E-26
ENSMUSG00000041773	1.941017561	3.184121387	6.90E-28	8.00E-26
ENSMUSG00000053964	2.077275998	3.523923851	6.96E-28	8.00E-26
ENSMUSG00000100277	4.341738067	1.505856239	1.17E-27	1.33E-25
ENSMUSG00000071551	-1.805670852	6.879595602	1.35E-27	1.52E-25
ENSMUSG00000039202	1.527160727	7.124287341	2.26E-27	2.53E-25
ENSMUSG00000040998	2.819973611	1.577572077	3.61E-27	3.99E-25
ENSMUSG00000032010	-2.546804988	5.278339074	8.00E-27	8.77E-25
ENSMUSG00000109291	2.565433965	1.927518841	8.81E-27	9.58E-25
ENSMUSG00000097815	1.634126839	3.984960217	1.09E-26	1.18E-24
ENSMUSG00000078234	-1.951185997	4.77853813	1.27E-26	1.36E-24
ENSMUSG00000075232	-1.451252167	5.80749757	2.95E-26	3.12E-24
ENSMUSG00000061825	-2.17742203	5.957009982	5.03E-26	5.28E-24
ENSMUSG00000054855	1.817613007	3.68292302	7.97E-26	8.29E-24
ENSMUSG00000027502	1.109270818	6.714415969	1.51E-25	1.56E-23
ENSMUSG00000045287	1.402112613	3.698350932	2.45E-25	2.51E-23
ENSMUSG00000021670	-1.8664548	5.835090341	4.48E-25	4.55E-23
ENSMUSG00000030787	1.884959979	3.844811317	5.08E-25	5.11E-23
ENSMUSG00000041959	1.244963142	6.007652417	5.48E-25	5.47E-23
ENSMUSG00000030089	2.406475029	2.681133228	6.80E-25	6.73E-23
ENSMUSG00000021775	-1.883195108	5.828560347	2.15E-24	2.11E-22
ENSMUSG00000031349	-2.367413606	4.254196773	2.53E-24	2.47E-22
ENSMUSG00000030909	-1.292516047	5.882731193	2.81E-24	2.71E-22
ENSMUSG00000038244	1.285733958	4.803729334	3.17E-24	3.04E-22
ENSMUSG00000057722	2.54885333	2.933808784	3.20E-24	3.04E-22
ENSMUSG00000034708	1.33479681	8.459082944	3.43E-24	3.24E-22
ENSMUSG00000028893	1.668748564	4.288584447	3.50E-24	3.28E-22
ENSMUSG00000056749	2.290553226	5.073932031	4.03E-24	3.74E-22
