"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000068246"	-1.67675680833466	6.78513677549582	1.13925017346945e-65	2.47385373734039e-63
"ENSMUSG00000017723"	2.32984029327978	3.62598886659641	3.76081065491292e-64	8.03478998951236e-62
"ENSMUSG00000022364"	2.07617112340012	4.08521575840042	5.36784677816915e-64	1.12861108608934e-61
"ENSMUSG00000072115"	-2.18860112802395	6.25507144598001	8.97601537456863e-64	1.85775468205525e-61
"ENSMUSG00000003721"	1.66400042799151	6.97364020266688	2.00849380247499e-63	4.09300137039749e-61
"ENSMUSG00000054793"	-2.80353027449325	2.45317322418408	3.14511471424465e-63	6.31214992498252e-61
"ENSMUSG00000002992"	1.51315972383679	7.936679555769	7.74067272555708e-63	1.53034255108551e-60
"ENSMUSG00000025003"	3.09594660060574	3.06863688509689	2.43444399256102e-62	4.74215369492107e-60
"ENSMUSG00000041828"	-2.05854797623034	6.43467520055759	1.58410139127152e-61	3.04101551141777e-59
"ENSMUSG00000039323"	-4.50827326319357	7.5365353590283	6.21158350473189e-61	1.17540907290969e-58
"ENSMUSG00000029254"	4.14071976829627	1.52032673098234	8.41584874005464e-61	1.570089188884e-58
"ENSMUSG00000073830"	-3.04545200791532	10.1636870778643	1.55384112562009e-60	2.85863604860607e-58
"ENSMUSG00000010025"	1.38724656583068	9.69721100464788	4.21089473164982e-60	7.64075501581282e-58
"ENSMUSG00000032231"	2.26562908735011	4.99211281186172	5.65949689473163e-60	1.01304994415696e-57
"ENSMUSG00000051579"	1.88843831024496	4.53977423948384	8.85417037640542e-60	1.56376454407822e-57
"ENSMUSG00000049493"	4.38760428816913	2.67754066290655	9.79151097621494e-60	1.70655729461767e-57
"ENSMUSG00000017754"	1.82368806874082	5.61869975421223	1.93415492360149e-59	3.32724884649679e-57
"ENSMUSG00000028655"	3.00173816554035	7.53540777367314	3.85840220092263e-59	6.55235840428477e-57
"ENSMUSG00000029161"	4.1639524533595	2.51436774352603	4.03169596688691e-59	6.7599803515676e-57
"ENSMUSG00000031561"	1.36850663632532	5.09834088328727	2.87860498635517e-58	4.76625020615757e-56
"ENSMUSG00000055730"	-1.62343053860988	9.11706645176234	7.67014231205922e-58	1.25430500080909e-55
