	logFC	logCPM	PValue	FDR
ENSMUSG00000066072	4.295125328	11.47646834	5.50E-188	6.64E-184
ENSMUSG00000028715	4.299931372	11.96472806	1.08E-108	6.53E-105
ENSMUSG00000028712	4.57803864	5.26693539	5.43E-102	2.19E-98
ENSMUSG00000025002	-5.097799498	3.478653248	1.69E-96	5.10E-93
ENSMUSG00000067071	-1.830648778	5.901701285	2.93E-65	7.08E-62
ENSMUSG00000057103	-1.808206401	6.847241648	6.36E-61	1.28E-57
ENSMUSG00000023067	4.219661645	3.557872212	8.51E-58	1.47E-54
ENSMUSG00000035686	-4.294864746	8.831683796	1.85E-56	2.80E-53
ENSMUSG00000056666	1.882093682	10.17798497	3.36E-54	4.52E-51
ENSMUSG00000003053	-2.709180121	11.43070853	9.38E-52	1.13E-48
ENSMUSG00000008035	-3.289255805	6.201828221	2.78E-47	3.06E-44
ENSMUSG00000020538	-3.88509671	8.634677085	1.30E-44	1.31E-41
ENSMUSG00000022091	1.954808725	6.463826966	7.04E-44	6.54E-41
ENSMUSG00000031924	-1.572011174	8.5536924	2.58E-42	2.23E-39
ENSMUSG00000063730	-1.777212343	5.579053792	8.10E-42	6.52E-39
ENSMUSG00000029482	-2.885056372	6.207518989	1.39E-41	1.05E-38
ENSMUSG00000072949	2.395597474	6.359105314	2.24E-41	1.59E-38
ENSMUSG00000021453	3.227009152	5.077313605	3.37E-41	2.26E-38
ENSMUSG00000034248	-1.391164154	5.502419325	9.93E-41	6.31E-38
ENSMUSG00000021226	2.670134562	3.766746397	1.14E-40	6.91E-38
ENSMUSG00000044254	-3.900604636	5.397241438	3.96E-40	2.28E-37
ENSMUSG00000021091	1.612661843	9.334880894	5.98E-40	3.28E-37
ENSMUSG00000100277	4.311226841	1.467989563	5.77E-39	3.03E-36
ENSMUSG00000019577	3.658701791	4.247180134	8.32E-39	4.19E-36
ENSMUSG00000020423	2.323780222	3.911222179	3.92E-38	1.89E-35
ENSMUSG00000030717	4.009705124	3.799320181	4.53E-38	2.10E-35
ENSMUSG00000022270	1.790988658	6.597685992	6.70E-38	3.00E-35
ENSMUSG00000078817	2.15457743	5.976847235	1.13E-37	4.89E-35
ENSMUSG00000011305	2.025204556	6.33582045	1.35E-37	5.64E-35
ENSMUSG00000030089	2.872240977	3.036022051	2.01E-37	8.09E-35
ENSMUSG00000047446	1.577579756	4.734304103	2.15E-37	8.39E-35
ENSMUSG00000005373	-1.624674445	7.327378047	3.84E-36	1.45E-33
ENSMUSG00000003721	2.165693854	7.277317839	4.91E-36	1.80E-33
ENSMUSG00000027875	1.376444777	12.04433101	6.38E-36	2.27E-33
ENSMUSG00000049580	-1.788151848	7.612662635	4.25E-35	1.47E-32
ENSMUSG00000039202	1.86784556	7.362057615	4.91E-34	1.65E-31
ENSMUSG00000074183	-2.420839752	3.227045941	6.85E-34	2.24E-31
ENSMUSG00000029314	1.864961432	3.780231358	1.59E-32	5.05E-30
ENSMUSG00000020429	4.811965518	7.934952497	1.44E-31	4.46E-29
ENSMUSG00000087382	2.706329806	2.863662162	1.81E-31	5.48E-29
ENSMUSG00000003477	-2.161680341	9.877727241	2.52E-31	7.41E-29
ENSMUSG00000030643	2.767318672	4.081084873	9.25E-31	2.66E-28
ENSMUSG00000038768	-1.854181762	4.220146004	1.79E-30	4.95E-28
ENSMUSG00000052562	-2.266995112	6.473868828	1.80E-30	4.95E-28
ENSMUSG00000024292	-1.522971348	7.204761597	2.56E-30	6.88E-28
ENSMUSG00000022025	-2.575584812	2.46515196	3.44E-30	9.04E-28
ENSMUSG00000032310	-1.708909251	9.055628157	3.81E-30	9.80E-28
ENSMUSG00000026853	1.469305993	6.392098187	1.38E-29	3.45E-27
ENSMUSG00000031808	2.589125097	5.099872897	1.40E-29	3.45E-27
ENSMUSG00000061825	-1.911158547	5.991165884	2.06E-29	4.97E-27
ENSMUSG00000015312	2.331172202	2.676680485	6.82E-29	1.61E-26
ENSMUSG00000025190	2.528378452	9.251272985	8.54E-29	1.98E-26
ENSMUSG00000047822	-3.554750178	5.266695354	1.36E-28	3.10E-26
ENSMUSG00000019082	1.970495338	8.54866717	5.89E-28	1.32E-25
ENSMUSG00000074398	4.664092525	1.079617617	7.31E-28	1.61E-25
ENSMUSG00000025260	1.580069668	8.158514816	9.71E-28	2.09E-25
ENSMUSG00000035811	-1.47515854	8.000175209	9.98E-28	2.12E-25
ENSMUSG00000034708	1.154574288	8.311806108	1.06E-27	2.21E-25
ENSMUSG00000002831	2.418422801	4.611703069	2.13E-27	4.37E-25
ENSMUSG00000056091	1.84706324	8.314151636	2.24E-27	4.52E-25
ENSMUSG00000022853	1.640931833	9.269839525	2.64E-27	5.23E-25
ENSMUSG00000025153	-3.310295029	8.925675994	5.29E-27	1.03E-24
ENSMUSG00000097815	1.700456459	4.004570622	5.36E-27	1.03E-24
ENSMUSG00000030934	1.837196077	9.986375145	6.77E-27	1.28E-24
ENSMUSG00000063590	-3.928980724	2.556898255	2.45E-26	4.55E-24
ENSMUSG00000037798	1.943679853	12.75026394	2.56E-26	4.69E-24
ENSMUSG00000027559	-2.965119298	10.7166615	3.75E-26	6.77E-24
ENSMUSG00000045672	-2.120624778	4.569747412	5.20E-26	9.23E-24
ENSMUSG00000032348	-1.196319412	5.625956324	1.61E-25	2.83E-23
ENSMUSG00000030670	-1.535396851	3.254911989	2.19E-25	3.78E-23
ENSMUSG00000004071	1.386799034	7.112430869	2.29E-25	3.90E-23
ENSMUSG00000021477	1.194156205	9.431341613	8.43E-25	1.41E-22
ENSMUSG00000043671	-2.017861787	3.386938786	1.19E-24	1.97E-22
ENSMUSG00000033715	-1.689572864	8.340413489	1.34E-24	2.18E-22
ENSMUSG00000025464	-1.296614078	5.309539325	1.88E-24	3.02E-22
ENSMUSG00000004038	-2.947492324	5.99530198	6.85E-24	1.09E-21
ENSMUSG00000042834	-3.32882009	4.917863834	7.23E-24	1.13E-21
ENSMUSG00000032080	4.400705995	9.39114046	8.88E-24	1.37E-21
ENSMUSG00000045775	2.347582896	5.143429504	8.93E-24	1.37E-21
ENSMUSG00000027048	-1.100755692	8.439146998	1.28E-23	1.93E-21
ENSMUSG00000035836	-1.797112466	8.829057111	1.37E-23	2.04E-21
ENSMUSG00000050541	-1.324097471	5.403987671	1.43E-23	2.10E-21
ENSMUSG00000030909	-1.203906768	5.88983537	1.64E-23	2.38E-21
ENSMUSG00000030787	1.462083986	3.493264737	1.82E-23	2.61E-21
ENSMUSG00000006711	-2.186584677	2.234468657	3.28E-23	4.67E-21
ENSMUSG00000030946	1.427417015	6.299688183	3.48E-23	4.88E-21
ENSMUSG00000020108	3.269297735	5.425026601	3.76E-23	5.21E-21
ENSMUSG00000063929	2.141965613	5.075274631	5.11E-23	7.01E-21
ENSMUSG00000041828	-1.584758391	6.468339873	5.26E-23	7.07E-21
