"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000066072"	3.32925907916712	10.578823582129	1.26565289243828e-129	1.52625082299132e-125
"ENSMUSG00000059824"	-4.10626254081257	6.26111210121585	2.50358674362742e-116	1.50953762707015e-112
"ENSMUSG00000011305"	2.81406361846554	6.99984078484878	7.75361841142154e-113	3.11669614744441e-109
"ENSMUSG00000023067"	6.02035404316007	5.32653560164252	9.47888960250024e-105	2.85764824291376e-101
"ENSMUSG00000044254"	-3.68618718385163	5.41928429279265	1.10128066601136e-103	2.65606871028619e-100
"ENSMUSG00000029009"	2.99753283036606	4.32186660624246	9.44057183365152e-90	1.89739759570006e-86
"ENSMUSG00000003721"	2.62420179651853	7.66454436481985	2.58699497555133e-86	4.45665320145335e-83
"ENSMUSG00000055116"	3.66908623112724	3.14008616833031	2.81928135433707e-85	4.24971423149384e-82
"ENSMUSG00000072949"	3.49932663679392	7.33797691247726	9.09429434011529e-84	1.21853439386056e-80
"ENSMUSG00000015357"	2.30315415587167	7.35622040891826	1.3538173663109e-77	1.63256836203431e-74
"ENSMUSG00000020889"	-2.66355134981347	5.41244509289062	1.1408371112102e-71	1.25066861128034e-68
"ENSMUSG00000078234"	-3.13275028105787	4.61198095033574	1.04817226761116e-69	1.05332578126024e-66
"ENSMUSG00000090264"	3.33971688445514	7.29069348928468	3.99388985406719e-67	3.70479367309202e-64
"ENSMUSG00000035811"	-1.9191105533651	7.89950248019484	9.55484404212096e-67	8.23013316456691e-64
"ENSMUSG00000028715"	3.03807462901009	10.8006210333926	7.10297104766424e-62	5.71031519091887e-59
"ENSMUSG00000038754"	3.62883386530799	7.87009636506451	2.5497412940834e-60	1.92170814158448e-57
"ENSMUSG00000078817"	2.63661482711153	6.3826019895031	1.78674812884792e-58	1.26743504033983e-55
"ENSMUSG00000020538"	-3.47609160128278	8.66811574724364	7.56292369445093e-54	5.06673871285465e-51
"ENSMUSG00000024589"	1.64375950654865	5.47412813516859	9.70701018424659e-54	6.16088609535945e-51
"ENSMUSG00000052934"	1.71460589823207	7.22273155867961	7.71401546815348e-53	4.65116562652314e-50
"ENSMUSG00000026853"	1.77371196503096	6.62360461829431	1.31466641274805e-52	7.54931536729938e-50
"ENSMUSG00000032080"	2.17808689936171	7.38908950486297	2.50883559625714e-51	1.37518402069386e-48
"ENSMUSG00000036957"	2.4967402351828	3.80596587268734	3.04843674487019e-50	1.59830863940824e-47
"ENSMUSG00000021750"	6.74371865455269	3.62522030309765	7.37250293180984e-50	3.70437553561228e-47
"ENSMUSG00000062410"	-1.54335841447446	7.50679673724374	2.20556161704016e-48	1.06387470159549e-45
"ENSMUSG00000029385"	2.22191454711265	4.30002888268367	6.92595208878978e-47	3.21230985533523e-44
"ENSMUSG00000000876"	1.51421787663539	6.75674110228112	4.64632424452757e-45	2.07518607647252e-42
"ENSMUSG00000010601"	-1.9992767541642	6.60696816457437	1.15671513548521e-43	4.98172422100577e-41
"ENSMUSG00000047446"	1.70627073742721	4.8314725465469	1.23436412638561e-43	5.13282655175314e-41
"ENSMUSG00000020038"	2.37454881062168	4.4216822907724	1.59317422456638e-43	6.404029324682e-41
"ENSMUSG00000050445"	1.66601172840953	9.25877338397408	4.12265458762468e-43	1.603712634586e-40
"ENSMUSG00000025089"	1.41426091836595	8.27116533901509	1.23963369105008e-42	4.67148208761654e-40
"ENSMUSG00000024378"	-1.7770873404927	6.23144345937998	3.48835548693778e-41	1.27472966112069e-38
"ENSMUSG00000058258"	-2.25386606065187	5.04508774041738	6.67557979239144e-41	2.36767107989554e-38
"ENSMUSG00000101517"	1.82594502044566	4.14064428829086	1.34736563378995e-40	4.64225205082087e-38
"ENSMUSG00000030827"	5.26534248439551	2.05344538303984	6.76569724285592e-40	2.26632064032221e-37
"ENSMUSG00000019082"	1.61637782021959	8.27788189983907	1.17548691134682e-39	3.83113423349494e-37
"ENSMUSG00000032300"	1.70251543905244	4.8669120067302	3.14988851532595e-38	9.99592252797779e-36
"ENSMUSG00000063730"	-1.81047234942537	5.57667354274483	8.06937900433711e-38	2.49509336957183e-35
"ENSMUSG00000030852"	1.54879945100674	5.06860569342826	3.12204737407184e-37	9.41219232098308e-35
"ENSMUSG00000018900"	1.99973066467203	6.0051363363532	4.71820031527351e-37	1.38772628297276e-34
"ENSMUSG00000039934"	-1.8051058000496	4.62911081964022	5.0582390094641e-37	1.45231676702685e-34
"ENSMUSG00000090038"	1.99703963855924	3.53766280601436	2.4735394573294e-36	6.93684007347331e-34
"ENSMUSG00000053964"	1.99301074185381	3.4179440503669	2.66970381233017e-36	7.31680869838399e-34
"ENSMUSG00000025229"	4.77582024439605	1.88316684684428	2.04913107296455e-35	5.49121591308434e-33
"ENSMUSG00000041930"	2.73861433135144	3.19869624388615	2.43257763206204e-35	6.37705514457308e-33
"ENSMUSG00000031604"	-1.98254904430278	5.95573163020231	3.75009497465925e-35	9.62178623391828e-33
"ENSMUSG00000029314"	1.91349038869958	3.81859114809208	1.19847314534796e-34	3.01091409578146e-32
"ENSMUSG00000060548"	-2.66171751718877	2.40812872391484	3.49333710481215e-34	8.59717390753667e-32
"ENSMUSG00000026435"	2.16357485083039	6.01960571186974	2.40115607194368e-33	5.79110821431377e-31
"ENSMUSG00000027890"	-1.6116102639897	5.97977947524187	2.58400833694272e-33	6.10991304611613e-31
"ENSMUSG00000095061"	3.8100040256339	1.22303588100511	1.28546062567192e-32	2.98103263172648e-30
"ENSMUSG00000031618"	-1.65933665876477	3.44049581896201	2.93620115465937e-32	6.68068862717686e-30
"ENSMUSG00000067071"	-1.71865056050516	5.93094384823262	3.9741489633458e-32	8.87486339796056e-30
"ENSMUSG00000091780"	1.6119091057947	5.34535308564459	9.60533308842791e-32	2.10601294024277e-29
"ENSMUSG00000008035"	-2.76547774542459	6.26507385100186	1.0364547197112e-31	2.23189419017809e-29
"ENSMUSG00000030643"	3.1905124208736	4.46719185218076	1.5694952498928e-31	3.32044617867672e-29
"ENSMUSG00000040740"	1.75210541058841	3.46541273686695	3.13372288534077e-31	6.51544211626282e-29
"ENSMUSG00000024222"	2.44239247788673	7.4119323050738	6.36559103557739e-31	1.30106207284793e-28
"ENSMUSG00000021400"	1.38396352708737	6.10551042562971	8.56725782489556e-31	1.72187603517359e-28
"ENSMUSG00000024827"	1.32863208154187	7.81869277112475	9.30742228548031e-31	1.83997057935421e-28
"ENSMUSG00000075232"	-1.30553464910569	5.83357522892594	9.86818186019577e-31	1.91936137180808e-28
"ENSMUSG00000002831"	3.17958653274676	5.27149603085375	1.24603342742346e-30	2.38506620655548e-28
"ENSMUSG00000028957"	-1.62786085803581	4.9698260956478	1.53122969143392e-30	2.88517169515651e-28
"ENSMUSG00000057110"	1.65999100146783	4.86010040473198	1.77536141951887e-30	3.29370513199662e-28
"ENSMUSG00000031924"	-1.20769883172823	8.65749058831932	2.93549370882531e-30	5.3635028234431e-28
"ENSMUSG00000029440"	1.11868739626386	5.60405513556321	6.44359713994672e-30	1.147210696739e-27
"ENSMUSG00000056698"	1.34526335094679	4.96341944466201	6.46905443057072e-30	1.147210696739e-27
"ENSMUSG00000056091"	2.02983425296806	8.46174970037953	9.78894703309988e-30	1.71079583003118e-27
"ENSMUSG00000057913"	4.10855987023253	0.654612078318226	1.04187977623877e-29	1.79297325019473e-27
"ENSMUSG00000002289"	2.00581022754987	7.92956165457531	1.05565221630173e-29	1.79297325019473e-27
"ENSMUSG00000034708"	1.06427748789583	8.2531628302042	1.81265646520089e-29	3.0359478213691e-27
"ENSMUSG00000028654"	1.80098286970819	4.29763298986118	1.87542263329001e-29	3.09804404586908e-27
"ENSMUSG00000044468"	1.59415233056323	3.80153568864248	6.84566409031927e-29	1.11556571979946e-26
"ENSMUSG00000006711"	-2.11580348643	2.25425208773373	8.48279660892333e-29	1.36392059076009e-26
"ENSMUSG00000052928"	1.17708071667326	5.83325626478485	1.67470055946611e-28	2.65726500613181e-26
"ENSMUSG00000024843"	1.43168366911773	4.36810748295686	1.82619417556721e-28	2.86000981339806e-26
"ENSMUSG00000087382"	2.68498622207744	2.85965466689759	2.37505726858593e-28	3.67189943613817e-26
"ENSMUSG00000024580"	1.53650752520062	5.76969076286158	4.95302354561973e-28	7.56057100463649e-26
"ENSMUSG00000022388"	3.38635174049595	1.63955083522845	5.32681155644104e-28	8.02950256989032e-26
"ENSMUSG00000042834"	-3.60225348293878	4.89944196527274	1.22069749724971e-27	1.81733223695485e-25
"ENSMUSG00000032018"	-1.31778846503959	7.9006898169696	1.6140574108482e-27	2.37364857529492e-25
"ENSMUSG00000047731"	1.09499683596012	8.88494902775708	2.50282383606875e-27	3.63633164327145e-25
"ENSMUSG00000031024"	1.56912838917777	4.90168084809808	2.72461470520006e-27	3.91144389642947e-25
"ENSMUSG00000035686"	-3.07226887786625	8.92625712360577	3.49819784061311e-27	4.96291385411218e-25
