"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000029009"	2.66967355492022	5.07740419538047	1.81652958741706e-200	2.24468561117127e-196
"ENSMUSG00000059824"	-4.63676417257026	5.5649489128409	2.83589665529602e-197	1.75215874847464e-193
"ENSMUSG00000015357"	2.68152420975128	7.99546733334282	4.22905146428945e-188	1.74194629814083e-184
"ENSMUSG00000024843"	2.7027661016929	5.49530005244249	5.17326279540512e-142	1.59815020907053e-138
"ENSMUSG00000055116"	3.50316744785701	3.57896933641023	3.54703542117032e-134	8.76614333988033e-131
"ENSMUSG00000028957"	-2.93608709945923	4.34529150824549	2.30620490805451e-130	4.74962900813827e-127
"ENSMUSG00000008035"	-2.76673643273995	5.95454008325463	4.08087997826444e-118	7.20391912734481e-115
"ENSMUSG00000005125"	2.32637581378791	4.76710839793223	1.10813827862946e-108	1.71165808862803e-105
"ENSMUSG00000039982"	2.17552278878883	4.40161553083081	1.28944096806941e-85	1.7704024491593e-82
"ENSMUSG00000033107"	1.98994776956704	6.94842072055459	4.59866708171183e-85	5.68257291287131e-82
"ENSMUSG00000055866"	-2.18854022887463	4.86900654251764	1.16161405083407e-84	1.30491498419606e-81
"ENSMUSG00000020917"	-2.75594030422386	8.95682718118415	9.41073842027951e-82	9.69070788828282e-79
"ENSMUSG00000042978"	-1.46550268559486	5.92724744114748	1.93276513204035e-81	1.83716759512482e-78
"ENSMUSG00000056749"	1.84021631551696	4.99183262479025	1.02388474298568e-76	9.03724554933862e-74
"ENSMUSG00000025153"	-2.94506200519968	10.5340811910083	2.78291573586503e-74	2.29256598320561e-71
"ENSMUSG00000021670"	-1.58999980402145	5.82215725028173	3.49359336345467e-73	2.69814582451309e-70
"ENSMUSG00000023067"	3.19705773326984	6.46320082573376	3.90671211475445e-71	2.83972009423652e-68
"ENSMUSG00000003721"	2.10550391532012	8.972263476819	2.26866522016256e-70	1.5574386736416e-67
"ENSMUSG00000072949"	2.27152021317065	6.96050935693913	5.27860621381208e-70	3.42117280210233e-67
"ENSMUSG00000019577"	2.26180153041658	5.56501903374497	5.53722230655067e-70	3.42117280210233e-67
"ENSMUSG00000040998"	3.07900375217602	2.22856109416545	4.85258056806378e-67	2.85539705140781e-64
"ENSMUSG00000020429"	2.85189686241599	6.47335812118985	3.95296203570473e-65	2.22030690341833e-62
"ENSMUSG00000028051"	-2.03381811729081	5.54615067703747	8.27687285720594e-63	4.44683990854321e-60
"ENSMUSG00000011305"	1.80784933189264	7.28333858182744	9.70419310974035e-63	4.99644642737756e-60
"ENSMUSG00000000876"	1.29843073236289	7.05307606081329	1.72906967521812e-61	8.54644559066813e-59
"ENSMUSG00000021775"	-1.60671466712536	5.67289726615903	1.22760371362339e-52	5.83442272663239e-50
"ENSMUSG00000029482"	-1.99718014119547	6.56577053944484	2.72384181815821e-52	1.24661160544374e-49
"ENSMUSG00000024378"	-1.34481984841696	5.82466623200833	6.70208308167399e-51	2.95777288000877e-48
"ENSMUSG00000040128"	1.56189099681522	5.57331493227999	2.09408054852359e-50	8.9229494269331e-48
"ENSMUSG00000002831"	1.9940876480931	6.95299596684856	5.13503799753493e-50	2.11512215118464e-47
"ENSMUSG00000091780"	1.26168745216571	6.3337024626911	5.03198901744752e-48	2.00581575124513e-45
"ENSMUSG00000047446"	1.6281890380055	5.54988682148541	1.59610105856791e-47	6.16344399397615e-45
"ENSMUSG00000022512"	1.34877561713201	4.99490475946202	2.81748567543351e-47	1.05032004624852e-44
