"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000028680"	2.14533584407455	6.78788749902138	1.01688670273234e-20	2.01343567141004e-18
"ENSMUSG00000030103"	-1.26783738591441	7.17550021517596	1.12823327932439e-20	2.19787121736773e-18
"ENSMUSG00000002289"	1.6305472839195	7.67196107123948	2.3761243332232e-20	4.5553697931222e-18
"ENSMUSG00000030545"	1.13241741768192	7.10915668271211	2.58379313192309e-20	4.8761021011511e-18
"ENSMUSG00000087382"	2.18928443070611	2.44815592353765	4.41713127108804e-20	8.20770946033867e-18
"ENSMUSG00000046312"	-0.924994317573056	5.22255080569862	9.02519876103272e-20	1.65161137326899e-17
"ENSMUSG00000044254"	-2.28815152378475	5.60549841985359	9.39737893870373e-20	1.69405287793528e-17
"ENSMUSG00000042680"	1.05683162440411	5.50726299622473	1.06852510917423e-19	1.89788915714799e-17
"ENSMUSG00000052928"	1.26436826208651	5.92987212058949	1.78886078146776e-19	3.13128413312574e-17
"ENSMUSG00000031596"	0.997254328583936	9.8022697978213	2.56714489637351e-19	4.42942515119989e-17
"ENSMUSG00000059811"	1.01327779626162	7.08475354215125	3.087297918111e-19	5.25188510633023e-17
"ENSMUSG00000043091"	-0.98378987745974	6.54798947132139	4.03720909724438e-19	6.77241826062745e-17
"ENSMUSG00000034135"	0.987198153758135	6.06416052987464	5.09413425865503e-19	8.42834980493637e-17
"ENSMUSG00000034858"	1.02692063402051	6.20175622348017	7.00035233794921e-19	1.14257102078041e-16
"ENSMUSG00000035064"	-1.23805954970073	3.69857281871812	1.0087610305041e-18	1.6245087635238e-16
"ENSMUSG00000017707"	0.874778812846588	8.26416282773148	1.21836776368329e-18	1.93624287496932e-16
"ENSMUSG00000050423"	4.27661118911692	3.21267710851373	1.24093428509333e-18	1.9464940643321e-16
"ENSMUSG00000105703"	3.51180031234367	7.45026235169747	1.62842459745647e-18	2.52155285744605e-16
"ENSMUSG00000035372"	1.12329866327527	5.66848004224598	3.49186564608131e-18	5.33857636371773e-16
"ENSMUSG00000029695"	0.881195254468475	8.69963696322184	5.24744754985529e-18	7.92233393839402e-16
"ENSMUSG00000028982"	1.62735360132041	5.07079353600805	6.10763888687222e-18	9.10716820686946e-16
"ENSMUSG00000039967"	1.02479885612398	4.01139590967481	6.75473564158609e-18	9.94923135110693e-16
"ENSMUSG00000000876"	0.918924520082777	6.37741982374589	1.05786655082176e-17	1.53938701214762e-15
