"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000015357"	2.14883769915304	7.54609844422052	4.1661670752895e-158	5.21645779496998e-154
"ENSMUSG00000059824"	-3.5511578897667	5.61456412843814	3.77049094892478e-138	2.36051585857436e-134
"ENSMUSG00000029009"	2.33416882227378	4.79706556839969	5.0072717518104e-93	2.08986832014727e-89
"ENSMUSG00000020538"	-1.80617292629528	8.55968357110731	4.33646102842543e-87	1.35742071342287e-83
"ENSMUSG00000072949"	2.22236348334098	6.92084979063599	3.19125342808492e-79	6.79850776448285e-76
"ENSMUSG00000055116"	3.20771513249755	3.3442418982997	3.25781060513514e-79	6.79850776448285e-76
"ENSMUSG00000008035"	-1.78176560842865	6.11180168011402	2.47384433753263e-75	4.42500070717801e-72
"ENSMUSG00000024843"	2.22871571774183	5.09321188848542	4.30785956752305e-70	6.74233870561951e-67
"ENSMUSG00000040128"	1.35677453781201	5.4264794126043	1.99075955759322e-56	2.76958893562496e-53
"ENSMUSG00000056608"	1.49062253480256	7.44745276766802	2.45926496831641e-55	3.07924566682898e-52
"ENSMUSG00000034837"	-2.25699975351158	3.07437314467114	8.61522470849306e-54	9.80647532500378e-51
"ENSMUSG00000039982"	1.63377048803937	3.98232744647527	1.25380998533649e-52	1.30824623553318e-49
"ENSMUSG00000056749"	1.5342778123973	4.76291274041412	1.59421988728513e-48	1.53547901605363e-45
"ENSMUSG00000005125"	1.33387715063407	4.00739935942168	1.83679415543148e-45	1.64274997286839e-42
"ENSMUSG00000020889"	-2.39509175649608	4.81644489320503	3.75938777048819e-45	3.13808628495217e-42
"ENSMUSG00000029385"	1.60850374790258	4.26493040111748	2.38928739797683e-44	1.86976671937924e-41
"ENSMUSG00000020038"	1.88340901730671	4.37315714081425	9.09254789998903e-44	6.69692895622133e-41
"ENSMUSG00000019577"	1.96487072412716	5.32340173153752	6.91733608573496e-42	4.81177584052708e-39
"ENSMUSG00000010601"	-1.16514705545062	6.38432068147695	2.89891295954899e-41	1.91038364034278e-38
"ENSMUSG00000000876"	1.0120455441052	6.85655911813412	1.42511386161205e-40	8.92192533062223e-38
"ENSMUSG00000078817"	2.04156148967734	5.11113707343991	1.5745825863015e-40	9.38826122051479e-38
"ENSMUSG00000078234"	-1.46313312237141	5.0983628408945	3.11767540654059e-39	1.77438244387703e-36
"ENSMUSG00000026074"	1.10067422339441	4.27547365884314	3.56410851148757e-39	1.94026968140591e-36
"ENSMUSG00000089712"	2.39268899169442	3.37781094570103	4.36802903348661e-39	2.27883714701191e-36
"ENSMUSG00000029238"	1.07734096929856	5.62831423661089	4.86922201253251e-39	2.43870115275678e-36
"ENSMUSG00000011305"	1.47043198409792	7.02843630198902	6.7399529491895e-39	3.24580580295391e-36
"ENSMUSG00000090038"	1.55018030447649	3.44368734550775	3.62253453767576e-37	1.67991684986067e-34
"ENSMUSG00000023067"	2.77791062541339	6.08936183298984	4.26963110173262e-37	1.90928753659979e-34
"ENSMUSG00000003721"	1.39610698537488	8.42573904860368	9.1557030553136e-37	3.95305372260626e-34
"ENSMUSG00000044254"	-1.38157850200301	5.04439901444037	6.77853625058193e-36	2.82913507978454e-33
"ENSMUSG00000006641"	-1.19803391933564	4.58313893271985	1.80581084756075e-35	7.29372826526068e-33
"ENSMUSG00000028957"	-1.70168080413096	4.51759350984352	8.19132203960889e-35	3.20511072681072e-32
"ENSMUSG00000010064"	-1.079138904669	10.2989552852508	1.88196627509155e-34	7.03074105115454e-32
"ENSMUSG00000090264"	2.33913929193271	4.07211542882039	1.90915418688008e-34	7.03074105115454e-32
"ENSMUSG00000033107"	1.2922451490455	6.42189302807196	2.57402160900851e-34	9.2083784475416e-32
"ENSMUSG00000026179"	1.00940836931446	7.39575809151347	2.66713089230148e-33	9.276429417363e-31
"ENSMUSG00000025981"	-1.21130245749006	4.87163332033842	5.28722565484679e-33	1.78922574119829e-30
"ENSMUSG00000024978"	-1.28082201708101	9.23150074160128	1.09850943205863e-31	3.57187744564251e-29
"ENSMUSG00000042363"	1.2483091144171	4.77608602449846	1.11255666783849e-31	3.57187744564251e-29
"ENSMUSG00000042978"	-0.939138264670581	6.07626954177129	3.78510158265178e-31	1.18483142290957e-28
"ENSMUSG00000020917"	-1.98029247074908	9.08149605787229	1.01859392484115e-30	3.11068647144781e-28
"ENSMUSG00000025153"	-2.06660414568039	10.6654547978388	4.0588509131036e-30	1.21002076864215e-27
"ENSMUSG00000038754"	2.26173505995053	5.69440274641292	5.85065159781778e-30	1.7036281082855e-27
"ENSMUSG00000024589"	0.94502121233273	5.68137768760865	1.55017576814457e-29	4.41130699839503e-27
"ENSMUSG00000005107"	-0.928924435189434	5.68132341066512	9.74361150622714e-29	2.71110577043267e-26
"ENSMUSG00000067279"	1.47075771087957	6.07706295989245	1.07479791261504e-28	2.92555318779412e-26
"ENSMUSG00000015755"	0.845170260115506	6.13139455171372	1.23872543062334e-28	3.30001725890102e-26
"ENSMUSG00000024987"	-2.16209312429063	5.30070736652585	1.68534205243388e-28	4.39628496635929e-26
"ENSMUSG00000045294"	-0.924339198334363	7.41288243566752	7.88732913467569e-28	2.0154540427607e-25
"ENSMUSG00000034853"	-1.10760059242224	5.95979490929767	8.21841958463297e-27	2.05805663238379e-24
"ENSMUSG00000021400"	0.772027801376401	5.54364358237756	1.03783302660497e-26	2.53132906548915e-24
"ENSMUSG00000030643"	1.18588379513467	4.75382246565613	1.05126676308151e-26	2.53132906548915e-24
"ENSMUSG00000052632"	1.30489213959058	3.36554678274479	1.87265092858741e-26	4.42404948619678e-24
"ENSMUSG00000031024"	1.08957098085093	5.81597975541229	2.33207659292849e-26	5.40739463334401e-24
"ENSMUSG00000028339"	-1.53352755259577	3.83044425681223	4.1102917698896e-26	9.35726604559777e-24
"ENSMUSG00000025504"	1.0769860319707	6.10101406932399	5.94564456766747e-26	1.32938242199579e-23
"ENSMUSG00000039934"	-1.00978595188052	4.25374501630191	1.07902912944466e-25	2.37026732101343e-23
"ENSMUSG00000028671"	-1.10534646171778	4.08547792552036	1.46121332749917e-25	3.15445725407191e-23
"ENSMUSG00000026491"	0.817714997492271	6.16203880815475	2.67927485898162e-25	5.68596618801845e-23
"ENSMUSG00000032193"	-0.85179440045058	7.60348267045255	2.84622280006079e-25	5.9395926132602e-23
"ENSMUSG00000028051"	-1.14420058785171	5.75191607933206	9.57842375597528e-25	1.96608924341912e-22
"ENSMUSG00000024866"	-0.810898237350702	6.23889014929586	1.10476677125504e-24	2.23109431336845e-22
"ENSMUSG00000047153"	0.935619136529782	5.19033133043275	1.34305675021835e-24	2.66927199515618e-22
"ENSMUSG00000021775"	-0.943283826731566	5.85372825015838	1.84513459723349e-24	3.60983285811883e-22
"ENSMUSG00000043091"	-1.09291713076666	7.41642224608687	2.59040996246464e-24	4.95492741900276e-22
"ENSMUSG00000002831"	1.32480627563143	6.44682230484597	2.61181382999906e-24	4.95492741900276e-22
"ENSMUSG00000024580"	0.940238502805731	5.53676340615539	2.97257624676486e-24	5.52321810090073e-22
"ENSMUSG00000022512"	1.16063504779022	4.87104235791867	2.9995913334498e-24	5.52321810090073e-22
"ENSMUSG00000036478"	1.06757312161961	5.86506429503912	3.4628043640423e-24	6.28373528147444e-22
"ENSMUSG00000030483"	1.40433461336495	8.42802654096531	8.54525488217013e-24	1.52850194828075e-21
"ENSMUSG00000056429"	0.796273603441219	8.57171147736756	1.32978182692062e-23	2.34509834575676e-21
"ENSMUSG00000063268"	-1.02150588373636	4.33678235817596	2.63629249054708e-23	4.58458587140832e-21
"ENSMUSG00000036501"	0.839604416122404	4.79694462264622	3.7865932416375e-23	6.49478547651276e-21
"ENSMUSG00000040998"	2.02974332877123	1.37930808218768	3.94929482643652e-23	6.6823135840286e-21
"ENSMUSG00000017639"	1.73612556085671	2.56759948050293	5.79897844393379e-23	9.68120121286599e-21
"ENSMUSG00000008167"	-0.865863845844026	5.02260788291951	1.61715820386452e-22	2.6642681408668e-20
"ENSMUSG00000036585"	0.762574165010116	7.10293595900035	1.89488013364813e-22	3.0812719679751e-20
"ENSMUSG00000022389"	-0.725079021803014	7.68709527632961	2.30339273312397e-22	3.69753595018529e-20
"ENSMUSG00000016024"	0.90396523287182	6.85835447848872	2.77643777386964e-22	4.40047814767365e-20
"ENSMUSG00000020131"	-1.27479790184602	3.94303646866684	3.40363666127735e-22	5.32711682948171e-20
"ENSMUSG00000020300"	0.968748588763262	5.75697307324141	4.43817913010632e-22	6.86054825778534e-20
"ENSMUSG00000042349"	-1.19542837621401	4.15067988831622	7.88268200114557e-22	1.20364708946761e-19
"ENSMUSG00000101517"	1.22818300353465	3.75756546520033	9.49630499087323e-22	1.43256909386414e-19
"ENSMUSG00000028792"	-0.749079047567601	7.84591447376759	1.2957593520454e-21	1.93145271987624e-19
"ENSMUSG00000024378"	-0.834561226127591	5.97747185615066	1.34387816122988e-21	1.97961158314815e-19
"ENSMUSG00000033021"	-0.94433404830665	4.64140546882301	1.67727358307773e-21	2.44199331787398e-19
"ENSMUSG00000067071"	-1.01055218725354	5.29037682942374	1.74914928915005e-21	2.51736761487905e-19
"ENSMUSG00000031906"	-1.03696242538245	4.8765802266721	2.29153604071846e-21	3.26049122339043e-19
"ENSMUSG00000018427"	1.13879933183918	4.4575906168049	3.49497083216087e-21	4.91691345949283e-19
"ENSMUSG00000053846"	-1.22550021374483	4.84671733614517	6.39417888713549e-21	8.89572376064705e-19
"ENSMUSG00000006517"	-1.47587582179977	3.75966167389053	6.67747939685103e-21	9.18777137670019e-19
"ENSMUSG00000027993"	0.864800581079032	5.18222603409238	6.82715691918853e-21	9.29161215056082e-19
"ENSMUSG00000032786"	-1.45899815738647	9.41794987793428	8.26605173531782e-21	1.11289498685929e-18
"ENSMUSG00000047446"	1.12687331718829	5.19287486606291	1.247529299588e-20	1.65563654495359e-18
"ENSMUSG00000032018"	-0.814564629214191	8.03697922073656	1.25617340284794e-20	1.65563654495359e-18
"ENSMUSG00000028001"	0.738213781734866	11.0923637174226	1.27145921999634e-20	1.65832717641398e-18
"ENSMUSG00000040430"	-0.774744064815029	4.59968567996511	1.76173016878595e-20	2.27408489106896e-18
"ENSMUSG00000075232"	-0.641641642388649	5.45229410839283	2.47644752845939e-20	3.16404076569797e-18
"ENSMUSG00000013150"	0.953612357005389	3.46628921752335	2.63221127758171e-20	3.32908256632329e-18
"ENSMUSG00000036292"	-0.914774535271559	4.55558420011267	3.48572099094282e-20	4.36447125275951e-18
"ENSMUSG00000024222"	1.28083146907298	6.92039766333062	3.94473054031375e-20	4.89029416784836e-18
"ENSMUSG00000006356"	0.779481891956623	5.47408085468106	4.11504595040063e-20	5.05142062205552e-18
"ENSMUSG00000030795"	-0.745967251115746	5.39469025858922	4.3997541337176e-20	5.34847781633767e-18
"ENSMUSG00000035877"	0.657239866511512	5.95158361300327	5.03358055939977e-20	6.06014059463889e-18
"ENSMUSG00000026669"	-0.950447787093653	4.65905635903622	8.01264591254823e-20	9.55488947343014e-18
"ENSMUSG00000030103"	-0.960310992320775	7.17221402316783	1.12825290818239e-19	1.33272213805204e-17
