"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000059824"	-5.53172675652623	6.25463965958306	3.00606640339178e-286	3.67160950510272e-282
"ENSMUSG00000066072"	3.97175370055534	11.2158891130688	1.5807052898078e-212	9.65336720485625e-209
"ENSMUSG00000003721"	3.37149729159313	8.3710746776569	1.13404315291249e-155	4.61706768989106e-152
"ENSMUSG00000023067"	5.84629011626199	5.18340466379356	8.49604581586283e-140	2.59426758987371e-136
"ENSMUSG00000015357"	2.8388460837641	7.85718961561782	1.63582363616832e-139	3.99598997843197e-136
"ENSMUSG00000062410"	-2.31417642758319	7.38927688984737	5.14654859982254e-138	1.04766574330387e-134
"ENSMUSG00000055116"	4.18251966469579	3.6831584183737	9.72307804857919e-120	1.69653821836209e-116
"ENSMUSG00000011305"	2.78566197335631	7.01697124000955	7.16240866528372e-110	1.09352074297219e-106
"ENSMUSG00000028715"	4.01592235949351	11.7411758506348	6.87658093144777e-107	9.33228438852256e-104
"ENSMUSG00000029009"	3.17725998189381	4.52491577516756	2.19016700695291e-106	2.67506998229228e-103
"ENSMUSG00000063730"	-2.26270992824722	5.53174722635435	9.3232080591229e-105	1.03521512031025e-101
"ENSMUSG00000072949"	3.49002643564952	7.36876500299856	5.14533967156414e-104	5.23709822904037e-101
"ENSMUSG00000032080"	3.23156292066581	8.34399773884265	1.54604197211484e-93	1.45256589595466e-90
"ENSMUSG00000029482"	-3.31253670144732	6.21291396290513	3.68022467810198e-93	3.21073315845268e-90
"ENSMUSG00000026853"	2.13492850642839	6.95247196409236	1.84870175782098e-92	1.5053362180017e-89
"ENSMUSG00000035686"	-4.99355076939258	8.85052191925621	2.25400472366475e-91	1.72065085592758e-88
"ENSMUSG00000044254"	-4.13311436755173	5.43447737529665	3.93532362191727e-89	2.82741427753515e-86
"ENSMUSG00000050445"	2.13025864312033	9.66636046663918	3.89882475332836e-80	2.64556919650848e-77
"ENSMUSG00000027559"	-2.57450660931983	10.8110941814726	1.5206786962917e-79	9.77556294552988e-77
"ENSMUSG00000018900"	2.01410573205806	6.05819451913335	4.22050661881569e-78	2.57746339211074e-75
"ENSMUSG00000032010"	-2.06179611577251	5.39085374371094	4.86751619867679e-78	2.83104013574468e-75
"ENSMUSG00000028712"	3.61453405422528	4.39065990960027	6.80100280072877e-77	3.77579310036823e-74
"ENSMUSG00000020538"	-3.45663420182123	8.71132706170724	2.92735810307027e-76	1.55455442916958e-73
"ENSMUSG00000036957"	2.48205929293447	3.84742485636062	1.24684011912218e-75	6.34537717289928e-73
"ENSMUSG00000021210"	-1.88416282108775	9.19706778885731	2.29023439202551e-75	1.11891691456798e-72
"ENSMUSG00000022853"	2.20163700591809	9.7583073829933	4.06889239998294e-75	1.91144045282275e-72
"ENSMUSG00000028957"	-3.18389631125544	4.77611412462592	5.64026326674013e-74	2.55148798296163e-71
"ENSMUSG00000041798"	-2.75004831147041	6.68392760458996	4.87789761410506e-72	2.12780862352426e-69
"ENSMUSG00000078817"	2.74591340372761	6.51888991088628	1.85730156217433e-67	7.82244182082666e-65
"ENSMUSG00000021775"	-1.89296963070186	5.85545901334439	2.02237558590579e-67	8.23376513541779e-65
"ENSMUSG00000021226"	2.7621724589069	3.89149809392569	2.49529896398672e-64	9.83147791810769e-62
"ENSMUSG00000067071"	-1.90433111440281	5.93234265266798	2.78778421845589e-63	1.06406238888188e-60
"ENSMUSG00000060807"	-2.17620816776856	7.35596852377216	7.71467726124067e-62	2.84435672332505e-59
"ENSMUSG00000019577"	3.5828108476545	4.2012482297197	7.91780977509838e-62	2.84435672332505e-59
"ENSMUSG00000024843"	1.71277611896752	4.61969791624129	5.85501705787903e-61	2.04323366699813e-58
"ENSMUSG00000057103"	-1.53028323126502	6.95876423279616	1.24949488154909e-59	4.23925846756683e-57
"ENSMUSG00000049580"	-1.91435426905357	7.6309515869021	2.31245396946053e-59	7.63359804945699e-57
"ENSMUSG00000087382"	3.01250729619851	3.17536928087117	3.17674030184507e-59	1.0210712117562e-56
"ENSMUSG00000025981"	-2.03914250031708	5.05762697948138	7.89501962724679e-59	2.47255819813313e-56
"ENSMUSG00000031024"	1.63809020571555	5.00024328485927	1.02077847289441e-58	3.11694706698308e-56
"ENSMUSG00000002831"	2.68719459227332	4.87645142918648	3.16894413664877e-58	9.4403618743971e-56
"ENSMUSG00000031924"	-1.44721893393147	8.63128041352108	1.60335879206804e-57	4.66272006817121e-55
"ENSMUSG00000091780"	2.01630379003744	5.7036376311742	3.71749686023654e-57	1.05594201513789e-54
"ENSMUSG00000024378"	-1.98292572569388	6.22960903279492	1.42857767272716e-56	3.96560174879307e-54
"ENSMUSG00000030103"	-2.08250704969642	6.99064528169763	3.70685189146729e-56	1.0061219778307e-53
"ENSMUSG00000047446"	2.01381918113646	5.11439640731051	4.00504635535761e-56	1.06342687357256e-53
"ENSMUSG00000030827"	5.04520324486414	1.80323695924349	5.24603466465197e-55	1.36329930625658e-52
"ENSMUSG00000056666"	1.84225945050974	10.1913612989416	7.74417302283371e-55	1.97056936043523e-52
"ENSMUSG00000026839"	-2.06050648871275	8.71236529141052	8.0903013203446e-55	2.01663143523855e-52
"ENSMUSG00000027875"	1.34241039358032	12.0647066349628	1.43520653619196e-54	3.50592252660972e-52
"ENSMUSG00000090264"	2.89807060371197	6.93638912812938	2.41001718646399e-54	5.7717548853865e-52
"ENSMUSG00000033715"	-1.79880938760324	8.3605394072555	6.72264958359935e-53	1.57904696180928e-50
"ENSMUSG00000024589"	1.72513536991734	5.57808329073582	8.49517381032829e-53	1.9577368475349e-50
"ENSMUSG00000030089"	2.55711524684684	2.81201053177686	1.79255379711971e-52	4.05449112555929e-50
"ENSMUSG00000025089"	1.41293692276861	8.31219181335042	1.38162515827622e-51	3.06821266967014e-49
"ENSMUSG00000024827"	1.66128832517028	8.10583346329073	7.75537598493726e-51	1.69150289785757e-48
"ENSMUSG00000000876"	1.54979852776799	6.82499654412772	1.07205430930699e-49	2.29720549717114e-47
"ENSMUSG00000029314"	1.85601930446105	3.82066962149377	1.00376318275051e-48	2.1137868127784e-46
"ENSMUSG00000025002"	-2.75126100207312	3.66745892625374	2.15155318228545e-48	4.45407975736178e-46
"ENSMUSG00000034708"	1.31864655263627	8.47174651857029	3.10760568487864e-48	6.32604930585129e-46
"ENSMUSG00000040998"	3.32456270047598	1.99317912358958	1.04021616441994e-47	2.08281971020085e-45
"ENSMUSG00000038754"	3.34887778157225	7.65476507611385	1.81716305247321e-47	3.57981121337222e-45
"ENSMUSG00000037379"	2.88618112797873	3.49082482816895	4.81254145787152e-47	9.33021926451473e-45
"ENSMUSG00000022389"	-1.30187536642205	7.55593790430751	3.24472493840547e-46	6.19235474963819e-44
"ENSMUSG00000054757"	-1.4047338378005	5.45543058922351	2.07066630275837e-45	3.89094126490626e-43
"ENSMUSG00000074398"	5.98755636741843	2.46621423431584	2.1515929811716e-44	3.98175101091363e-42
"ENSMUSG00000038539"	1.86205917486608	7.92592279778775	3.99265052932052e-44	7.27854232315236e-42
"ENSMUSG00000032349"	2.02281761339707	7.90777640647418	6.57766256335455e-44	1.18146427277665e-41
"ENSMUSG00000032018"	-1.45714260211737	7.90401693251742	1.79227165521314e-43	3.1725805792425e-41
"ENSMUSG00000008035"	-2.95735490913054	6.28504263783032	3.4299411682837e-43	5.98475734705959e-41
"ENSMUSG00000028494"	1.75395348452594	8.9832853855312	4.93124649885358e-43	8.48313306154897e-41
"ENSMUSG00000038550"	-2.18957105004746	3.47636048081101	5.56076062550169e-43	9.43321253887189e-41
"ENSMUSG00000042476"	1.36349951552027	8.34528982725218	8.1273700686876e-43	1.35983147971165e-40
"ENSMUSG00000060519"	2.18443771176425	3.75982474615571	1.43687836578719e-42	2.3716259945574e-40
"ENSMUSG00000095061"	4.65579292431106	2.08030621067902	1.53971637232978e-42	2.50747943621812e-40
"ENSMUSG00000030909"	-1.55728305357962	5.84212845617287	1.97974306274235e-41	3.18165549583355e-39
"ENSMUSG00000028383"	1.44584236279192	6.82941296783264	6.06338827586446e-41	9.61795122096214e-39
"ENSMUSG00000034248"	-1.44478355828834	5.53493835393959	2.30217328937547e-40	3.60496725082462e-38
"ENSMUSG00000109089"	2.02936655995915	3.80169447262703	3.25986490150619e-40	5.03999872240463e-38
"ENSMUSG00000033107"	1.8210733735415	6.11862194668413	5.39222058850762e-40	8.23257278350401e-38
"ENSMUSG00000075232"	-1.61292814770412	5.79529292014827	1.7734360181006e-39	2.67416636112108e-37
"ENSMUSG00000032902"	1.51393650496042	5.55314344118667	2.01446402830286e-39	3.00056873679159e-37
"ENSMUSG00000045294"	-2.36018333726647	7.5294523369434	2.59038243757406e-39	3.8119194087385e-37
"ENSMUSG00000052316"	3.16896320777798	1.58707504190206	5.33965877882501e-39	7.76411813387722e-37
"ENSMUSG00000020889"	-2.97117818291112	5.41907861113015	6.14532593291049e-39	8.83047187583161e-37
"ENSMUSG00000025464"	-1.54828253257278	5.29116441007066	9.27043644476695e-39	1.31661756670213e-36
"ENSMUSG00000016024"	1.24263561584223	7.22852544473991	1.03603499164996e-38	1.4544978606911e-36
"ENSMUSG00000031016"	-1.80681973943618	3.74365635863504	1.22605595002122e-38	1.70170992881354e-36
"ENSMUSG00000002265"	2.19556609125207	4.30867331486042	1.30066791502994e-38	1.78498403530064e-36
"ENSMUSG00000058672"	1.70227970485102	5.97900271241647	1.65470764446328e-38	2.24562212994162e-36
"ENSMUSG00000030643"	2.66238697222964	4.01037917430256	4.89934973770941e-38	6.57589645015194e-36
"ENSMUSG00000020733"	-1.20692331621012	7.7137601350533	7.22088691004208e-38	9.58651225209283e-36
"ENSMUSG00000035811"	-1.57106174986567	8.02099154045353	3.14684333138657e-37	4.13285424188769e-35
"ENSMUSG00000071551"	-1.39199572064157	7.00711160538294	3.9127745683551e-37	5.0841094231797e-35
"ENSMUSG00000029161"	3.09156590326222	1.28010868583619	4.26096518119379e-37	5.47825565506326e-35
"ENSMUSG00000029385"	1.82991452798824	4.02612485030615	4.90229868679443e-37	6.2371537667195e-35
"ENSMUSG00000030545"	1.44836063784354	7.33869716156011	6.97719022774687e-37	8.78550530326807e-35
"ENSMUSG00000038768"	-1.54722618618902	4.33518851178518	7.40635417483635e-37	9.23073570320931e-35
"ENSMUSG00000057722"	2.51337501125125	2.88713982056692	9.3035826454988e-37	1.14781776194063e-34
"ENSMUSG00000029596"	1.55258666897836	4.70176676500441	1.52315770602997e-36	1.86038482214501e-34
"ENSMUSG00000037157"	2.0914784387958	2.91014454678056	2.13113706949464e-36	2.57719882839679e-34
"ENSMUSG00000109291"	2.75105724747131	2.06586681228436	6.30602355241334e-36	7.55115408521339e-34
"ENSMUSG00000031808"	2.32252870499362	4.92395256344883	7.99564063556871e-36	9.48143249736274e-34
"ENSMUSG00000019082"	1.65052376197496	8.34560829831454	8.81720754749493e-36	1.03551320177984e-33
"ENSMUSG00000036181"	2.01378930846765	6.50161535824363	9.33764939658068e-36	1.08619094980797e-33
"ENSMUSG00000027993"	1.60709286665561	4.94031599242661	1.48712721214136e-35	1.71356337444288e-33
"ENSMUSG00000056698"	1.36540935318336	5.01942599243501	1.83014209008361e-35	2.08909864376459e-33
"ENSMUSG00000003053"	-1.30589960451715	11.7602113739778	6.15603146490756e-35	6.96201558447972e-33
"ENSMUSG00000041237"	-2.12052347083539	7.35643433541108	8.57065579163375e-35	9.60385227880868e-33
"ENSMUSG00000027502"	1.15613478848846	6.77013473761915	1.02649638015732e-34	1.13978425338559e-32
"ENSMUSG00000010064"	-1.34688244918918	10.6979839826322	1.90270299371585e-34	2.09365895182391e-32
"ENSMUSG00000006356"	1.36241130690254	5.95556628322494	2.20165889449651e-34	2.40098765512325e-32
"ENSMUSG00000039982"	1.9513903709679	3.64384185178915	2.57002649241154e-34	2.77790297153226e-32
"ENSMUSG00000021670"	-1.83956036948736	5.87232531901786	2.62533586083683e-34	2.81279405300536e-32
"ENSMUSG00000026435"	2.02546561653423	5.94762262738556	4.94196321982419e-34	5.24879467538545e-32
"ENSMUSG00000060613"	-1.86406790277778	8.29691997673924	2.4253526279725e-33	2.55372905155656e-31
"ENSMUSG00000056131"	1.37644341066057	4.18448313439171	2.60738386858142e-33	2.72193047614133e-31
"ENSMUSG00000010601"	-1.52095715110414	6.7557468123145	3.09131929822332e-33	3.19977744987285e-31
"ENSMUSG00000041773"	2.05927712163589	3.28393093979258	5.03649165057454e-33	5.16938731261491e-31
"ENSMUSG00000030972"	-1.1197822804735	7.24165415377732	5.52829465998867e-33	5.62688258142513e-31
"ENSMUSG00000091586"	1.34367375769414	4.02406447860582	1.27517112089933e-32	1.28718512980698e-30
"ENSMUSG00000067279"	1.40844771057526	5.727443621442	1.35666067288975e-32	1.35821749661274e-30
"ENSMUSG00000026278"	1.6128464480802	3.58947958981794	1.92633838274407e-32	1.91286967535253e-30
"ENSMUSG00000039934"	-1.71844005273831	4.68999643764409	1.94788379980179e-32	1.91866554280476e-30
"ENSMUSG00000052632"	2.06358087157022	3.52300464041103	2.20610508931199e-32	2.15562940486853e-30
"ENSMUSG00000021539"	-1.23697447952652	5.0994123576896	2.27552588672888e-32	2.20581533178623e-30
"ENSMUSG00000031767"	-2.43523604567084	8.51784215273837	2.58917805923916e-32	2.49009612720843e-30
"ENSMUSG00000020038"	2.05682638102278	4.20176377762997	2.77047893632685e-32	2.64364294752314e-30
"ENSMUSG00000021400"	1.48311327786449	6.21917557518997	4.68116672497901e-32	4.4203929749488e-30
"ENSMUSG00000031271"	-3.64070394183825	3.94678524632403	4.70485579452549e-32	4.4203929749488e-30
"ENSMUSG00000049685"	-3.92831599257417	1.21307421427553	6.3998121159396e-32	5.92657333942903e-30
"ENSMUSG00000109473"	3.77951614166616	0.764519188737024	6.40500803016728e-32	5.92657333942903e-30
"ENSMUSG00000025229"	3.89615998534119	1.01538971578302	6.85205084457191e-32	6.29255255756401e-30
"ENSMUSG00000042041"	2.16906421652469	3.5414854724331	8.64930823611527e-32	7.88377991014268e-30
"ENSMUSG00000113399"	5.07938909236495	0.419857887348649	1.01928409723894e-31	9.22187849161216e-30
"ENSMUSG00000052934"	1.30830517012726	6.9646566757602	1.73519688844715e-31	1.55835991143335e-29
"ENSMUSG00000022751"	-1.04570743795212	6.50441070892042	3.43087592460435e-31	3.0587385797896e-29
"ENSMUSG00000009378"	-1.29409638162461	5.96882649635962	5.17259400243073e-31	4.57812051780355e-29
"ENSMUSG00000029440"	1.03784951261768	5.5908145198658	5.21905006006799e-31	4.58600557076766e-29
"ENSMUSG00000078234"	-2.06633965582841	4.79504670649468	8.92846287098726e-31	7.78944610758846e-29
"ENSMUSG00000019122"	-1.11505238247905	5.69191593502077	1.2869421886861e-30	1.11480226188737e-28
"ENSMUSG00000006711"	-2.33939147018513	2.26449913765848	1.46347075563096e-30	1.25879097248427e-28
"ENSMUSG00000054855"	1.83960319011509	3.70639593747788	2.58629206040675e-30	2.20901896683973e-28
"ENSMUSG00000004951"	1.67876306981188	5.39417373889705	3.89597294443704e-30	3.30454260717736e-28
"ENSMUSG00000023070"	-1.0547514875542	9.16484122997703	4.84366324569102e-30	4.08003468157725e-28
"ENSMUSG00000027690"	-1.34999723877796	8.02368812030119	5.41178681742602e-30	4.52736741013982e-28
"ENSMUSG00000026566"	1.9235793998814	2.38823898524385	5.8789458659822e-30	4.88472413653786e-28
"ENSMUSG00000044469"	1.37509539662427	4.85770222436996	1.27463557182014e-29	1.0519188428521e-27
"ENSMUSG00000023832"	-1.16944116061424	5.5174242906601	1.83060834441224e-29	1.50060740393632e-27
"ENSMUSG00000022512"	1.25088484109806	5.52658180988901	2.25191847951658e-29	1.83366215392103e-27
