	logFC.group_allob.ob.12	logFC.group_allob.ob.16	logFC.group_allob.ob.2	logFC.group_allob.ob.24	logFC.group_allob.ob.4	logFC.group_allob.ob.6	logFC.group_allob.ob.8	logCPM	LR	PValue	FDR
ENSMUSG00000015357	2.671567473	2.57553168	0.373948947	0.815501293	1.003756154	1.630736337	2.145956718	7.790889058	1329.312253	7.59E-283	1.09E-278
ENSMUSG00000039982	2.167234176	1.93385647	-0.099937039	-0.053850048	0.476916102	0.999247978	1.633322208	4.114300475	748.3763341	2.55E-157	1.82E-153
ENSMUSG00000055116	3.436659897	3.523819978	0.571526119	0.562796834	1.652325889	2.662096633	3.171089451	3.572301118	644.7456726	5.60E-135	2.67E-131
ENSMUSG00000028957	-2.94864041	-3.182663899	-0.088746332	-0.066862975	-0.214010654	-0.795645771	-1.705508588	4.383142282	634.3355755	9.79E-133	3.50E-129
ENSMUSG00000055866	-2.198585716	-2.363582714	0.05097532	0.258080155	0.346567854	-0.196992229	-0.609475792	5.211111124	627.1089805	3.53E-131	1.01E-127
ENSMUSG00000091780	1.2529273	1.426370052	-0.079424552	0.617124809	-0.083352222	0.251699232	0.643328822	6.177970071	611.070822	1.01E-127	2.40E-124
ENSMUSG00000029009	2.651969348	2.466151603	0.067794696	0.751403442	0.978164013	1.597159855	2.32735953	4.899804491	584.3063419	5.83E-122	1.19E-118
ENSMUSG00000005125	2.326785881	1.961953024	0.273669119	0.384197027	0.425186097	0.741202296	1.343516917	4.365962555	581.2733802	2.62E-121	4.69E-118
ENSMUSG00000022615	1.051618462	1.254527893	-0.215623246	0.3741213	-0.354699262	0.054229922	0.288838999	6.71455383	573.1084363	1.50E-119	2.39E-116
ENSMUSG00000024378	-1.353998185	-1.88618119	-0.105624026	-1.729504939	-0.55092223	-0.615318113	-0.836097894	5.579035992	544.3985019	2.26E-113	3.24E-110
ENSMUSG00000021775	-1.615933135	-1.084748662	0.142565306	0.006775191	0.010026166	-0.260728998	-0.945288952	5.875605216	541.3279554	1.04E-112	1.35E-109
ENSMUSG00000020642	2.045561803	2.348558424	-0.169507853	0.136616819	-0.040710466	0.503257722	1.061769784	3.082576951	529.5468608	3.55E-110	4.23E-107
ENSMUSG00000000876	1.288961323	1.13279652	0.217255693	0.345764189	0.368221524	0.659081016	1.009844896	6.948407835	525.2032304	3.05E-109	3.36E-106
ENSMUSG00000020889	-1.593089572	0.695625842	0.09589401	0.124168611	-0.795170862	-2.053880445	-2.394961457	5.112183191	472.1233983	7.86E-98	8.03E-95
ENSMUSG00000052632	1.904305629	1.867625236	-0.04512329	0.111051598	0.309636648	1.04203217	1.295935313	3.619800737	461.7141807	1.35E-95	1.29E-92
ENSMUSG00000031016	-1.572225614	-1.97755772	-0.02917012	0.064925008	0.045486452	-0.353138967	-0.749387817	3.992473146	454.2513185	5.43E-94	4.85E-91
ENSMUSG00000059824	-4.638494969	-2.840375163	-0.314093315	-0.129418165	-0.960846651	-2.505622079	-3.546822728	5.342975985	450.5636688	3.36E-93	2.83E-90
ENSMUSG00000016024	1.187116345	1.301574064	0.137913895	0.856121868	0.40819536	0.599436464	0.901649352	7.066156462	439.935763	6.43E-91	5.11E-88
ENSMUSG00000003721	2.09640465	2.466896897	0.133988495	1.016228673	0.301096839	0.829339596	1.39450985	8.841972707	435.8666095	4.81E-90	3.62E-87
ENSMUSG00000025981	-1.818236039	-2.152633572	0.170629332	-0.432623999	-0.575158217	-0.804015258	-1.214162784	4.671148474	434.8382355	7.99E-90	5.72E-87
ENSMUSG00000024843	2.692833463	2.717065822	0.475310498	0.632432332	1.082698457	1.456562784	2.226600569	5.328656829	430.6789372	6.25E-89	4.25E-86
ENSMUSG00000015755	1.082957829	1.057923424	0.107646418	0.18780204	0.292360752	0.644175187	0.843278325	6.223259233	425.5863506	7.74E-88	5.03E-85
ENSMUSG00000021670	-1.601827467	-2.15269401	0.190477549	-1.42043714	-0.515395388	-0.586107793	-1.00381073	5.684371193	422.5893063	3.40E-87	2.12E-84
ENSMUSG00000040998	3.074298811	3.363339132	-0.23279181	0.509943948	0.212388125	1.099831511	2.036492117	2.01060048	419.7723956	1.37E-86	8.16E-84
ENSMUSG00000022389	-1.20111875	-1.4701778	-0.069881264	-0.102640739	-0.063599133	-0.378932144	-0.727036084	7.575479728	414.7849041	1.61E-85	9.20E-83
ENSMUSG00000037458	-0.99716532	-1.16410471	-0.014746754	-0.559115452	-0.262714801	-0.406944827	-0.705759921	6.319845322	408.4781931	3.62E-84	1.99E-81
ENSMUSG00000078937	1.544049844	2.285068847	-0.622626658	1.640346879	0.281398847	0.418195604	0.934711127	2.60342322	403.0623864	5.26E-83	2.79E-80
ENSMUSG00000006641	-1.359565564	-1.077091817	-0.28784429	-0.155173971	-0.494164287	-0.812914058	-1.200075543	4.432865606	399.2599127	3.44E-82	1.76E-79
ENSMUSG00000045294	-1.448580107	-2.161232266	0.051637076	-1.801853174	-0.5295146	-0.472748572	-0.926515784	7.065805746	396.8433923	1.13E-81	5.59E-79
ENSMUSG00000109904	-2.525525667	-4.823626093	0.227265663	0.179157433	0.445013214	-0.115640358	-0.554526805	1.356888273	389.7301121	3.80E-80	1.81E-77
ENSMUSG00000033066	1.445054778	1.664152026	-0.131417519	-0.164555481	-0.222340525	0.111353263	0.391854551	3.283093355	374.4536948	7.14E-77	3.29E-74
ENSMUSG00000033107	1.978734262	1.742963523	0.037825278	-0.097176056	0.078908649	0.809626622	1.289598709	6.583719754	372.6877358	1.71E-76	7.63E-74
ENSMUSG00000037847	-1.350531129	-1.809362832	0.01853713	-0.337511404	-0.032870727	-0.230281762	-0.545879259	4.82249281	365.8307345	5.02E-75	2.18E-72
ENSMUSG00000050860	2.33025637	2.245728339	-0.236369814	0.423544332	-0.310695131	0.140627536	0.820584006	5.613866265	357.1770261	3.58E-73	1.51E-70
ENSMUSG00000008035	-2.777686146	-2.83328558	-0.709685045	-1.728917176	-1.131780541	-1.5356902	-1.784736204	5.445377176	351.5134858	5.84E-72	2.39E-69
ENSMUSG00000025504	1.331441937	1.116599095	-0.159018722	0.237508501	0.328342092	0.675096736	1.075779637	6.124559535	340.1854468	1.55E-69	6.17E-67
ENSMUSG00000038181	0.664180421	1.055353724	-0.406522721	0.130615464	-0.230125568	-0.349081017	-0.072197805	5.298797029	334.6736304	2.35E-68	9.07E-66
ENSMUSG00000026074	1.124895302	1.467654095	-0.114613196	0.532284087	0.621247723	0.942439528	1.090782967	4.432662116	324.5233828	3.48E-66	1.31E-63
ENSMUSG00000025153	-2.954341571	-3.608928742	-0.122410749	-3.032020222	-1.282969191	-1.340768116	-2.068555403	10.06243957	321.2462599	1.75E-65	6.40E-63
ENSMUSG00000029238	0.9596057	0.818673864	0.070949167	0.30653106	0.472228528	0.839172128	1.075310672	5.605215152	320.5681385	2.44E-65	8.72E-63
ENSMUSG00000020044	-0.762129754	-0.941948831	0.148567224	-0.284842549	0.237767231	-0.014355653	-0.240539425	5.965767234	319.5905599	3.94E-65	1.38E-62
ENSMUSG00000045193	1.17773065	1.769778983	-0.402418505	0.672460457	-0.299893921	-0.502250967	-0.367655775	3.971473192	317.8861649	9.13E-65	3.11E-62
ENSMUSG00000078866	-1.510235114	-2.214818027	0.269760614	-0.83493694	-0.051926855	-0.23727727	-0.861629771	4.169973052	316.9525313	1.44E-64	4.81E-62
ENSMUSG00000024978	-1.418459275	-1.504425655	-0.048276148	-1.020238319	-0.962835129	-0.926678953	-1.282809428	8.931923226	313.515032	7.84E-64	2.55E-61
ENSMUSG00000031549	-0.27466444	-1.143168404	0.08935025	-0.775806358	0.105814779	0.064658478	-0.017843575	6.580374874	306.2594763	2.78E-62	8.85E-60
ENSMUSG00000030795	0.301902128	0.754648617	-0.258278162	0.218076517	-0.566945741	-0.6781404	-0.7496422	5.660231121	302.4941835	1.77E-61	5.52E-59
ENSMUSG00000029650	-0.60268383	-1.299336317	0.04691229	-0.757998096	-0.069397583	-0.255541306	-0.409943631	5.372247294	301.1489041	3.44E-61	1.05E-58
ENSMUSG00000022790	0.624288766	1.009121171	-0.106852794	0.591531051	-0.096062844	-0.027639164	0.134813696	5.260071553	299.3413734	8.36E-61	2.49E-58
ENSMUSG00000002831	1.985252457	2.484625773	0.076346222	1.912139148	0.824651293	1.303167235	1.32317164	7.097712344	298.9928958	9.93E-61	2.90E-58
ENSMUSG00000060519	1.539684126	1.586123767	-0.198656399	-0.089518031	0.182990861	0.461933541	0.90358665	4.420122484	295.5036074	5.52E-60	1.58E-57
ENSMUSG00000023079	1.189885659	1.283735073	-0.39032276	0.216035209	0.071349849	0.512202777	0.726956062	4.581893742	292.014164	3.07E-59	8.60E-57
ENSMUSG00000032010	-1.830781667	-2.687559186	0.341613731	0.096424574	0.163924897	-0.170108611	-0.711654162	5.509942344	291.6975355	3.58E-59	9.86E-57
ENSMUSG00000044254	-2.001849517	-3.063520797	0.149866998	-2.538379995	-0.621658293	-0.901003267	-1.383793318	4.635869691	289.2743354	1.18E-58	3.18E-56
ENSMUSG00000072949	2.264037616	2.088738536	0.762207877	1.895388494	1.257179406	1.78313859	2.222982721	7.109956801	288.9613819	1.38E-58	3.64E-56
ENSMUSG00000053617	1.032505725	0.966716604	-0.363033224	-0.255097148	-0.137041619	0.137776147	0.492500753	5.786316329	288.7796092	1.50E-58	3.91E-56
ENSMUSG00000042978	-1.475024793	-1.659598329	-0.256308151	-0.425332159	-0.314344417	-0.451714213	-0.943437937	5.861174776	280.8262814	7.48E-57	1.91E-54
ENSMUSG00000036957	1.382601376	1.356386675	-0.128919419	0.21547475	0.264804686	0.747559866	1.154805982	3.932005512	279.4637434	1.46E-56	3.67E-54
ENSMUSG00000025078	-0.512400174	-0.927263125	-0.032381536	-0.234523018	0.181734363	-0.011433726	-0.370462655	5.621830967	279.0421054	1.80E-56	4.43E-54
ENSMUSG00000033105	-0.887018895	-1.22704603	0.191050246	-0.92976563	-0.206115587	-0.215791084	-0.56431626	5.096806703	276.8281996	5.33E-56	1.29E-53
ENSMUSG00000032715	2.12889336	2.755038242	0.142795998	1.622853879	0.335660037	0.388858485	0.846735878	4.200455028	272.9485932	3.58E-55	8.54E-53
ENSMUSG00000015165	0.470808516	0.744718262	-0.127439042	0.025391922	-0.280498748	-0.210728726	-0.0255533	5.774018196	272.6054222	4.24E-55	9.94E-53
ENSMUSG00000034258	1.581411655	2.138488556	-0.027830825	1.528278437	0.596400509	0.508609691	0.786659818	2.912186315	271.8302572	6.20E-55	1.43E-52
ENSMUSG00000027993	1.215552016	1.331225453	-0.036484313	0.140791896	0.154349145	0.477284199	0.867156456	5.292578765	271.6618168	6.73E-55	1.53E-52
ENSMUSG00000067071	-1.145272787	-1.436952441	-0.104640964	-1.215297463	-0.439765884	-0.731992062	-1.012362804	5.014447002	269.7393551	1.73E-54	3.87E-52
ENSMUSG00000042363	1.036032154	0.729060567	0.139224684	0.170294608	0.453557385	0.951625954	1.246123134	4.683001514	268.9874868	2.50E-54	5.51E-52
ENSMUSG00000035686	-2.243088839	-3.056754619	0.234261027	-1.908607148	-0.534636789	-0.424674531	-1.29589699	9.716937502	268.0635449	3.94E-54	8.54E-52
ENSMUSG00000009378	-0.696323844	-0.971001889	0.072840013	0.138544217	0.144530424	-0.104588938	-0.307793576	6.264522446	266.7917448	7.35E-54	1.57E-51
ENSMUSG00000033715	-0.972715817	-1.555643151	-0.050224089	-1.033932635	-0.171147112	-0.278243486	-0.554620787	8.147401922	265.4385622	1.43E-53	3.00E-51
ENSMUSG00000028792	-0.801059022	-0.945222857	0.078020422	-0.354787658	-0.279929097	-0.419765931	-0.751525459	7.764275906	263.1988421	4.28E-53	8.88E-51
ENSMUSG00000054764	1.596759124	1.416615539	-0.316301447	-0.227974922	-0.302381889	0.496129719	0.81453903	1.593664713	263.1348688	4.42E-53	9.04E-51
ENSMUSG00000041220	-2.621262265	-3.451802499	0.386644438	-3.23227352	-0.673306151	-0.312796671	-1.16236806	8.492026942	261.756318	8.69E-53	1.75E-50
ENSMUSG00000042289	0.377981482	0.600009598	-0.233483392	0.003789223	-0.368960383	-0.349096569	-0.174543869	8.395188206	261.6073075	9.35E-53	1.86E-50
ENSMUSG00000032193	-1.092870776	-1.698936175	-0.147328998	-1.408146028	-0.563535552	-0.488564064	-0.853574495	7.273302013	260.5615958	1.56E-52	3.06E-50
ENSMUSG00000017639	1.687135879	2.114861505	-0.386781187	1.290548259	0.910462807	1.354439405	1.732024632	2.797821161	259.8798647	2.18E-52	4.22E-50
ENSMUSG00000071551	-0.642662808	-1.376631254	0.11701568	-0.875624782	0.095292987	0.067403465	-0.142355494	6.931452017	258.7253741	3.84E-52	7.33E-50
ENSMUSG00000023067	3.184141602	3.253567444	1.217112665	2.038832789	1.715242164	2.424844133	2.774053318	6.500091798	256.9313905	9.27E-52	1.74E-49
ENSMUSG00000020538	-1.300450495	-1.703148369	-0.337718153	-1.70804585	-1.467786376	-1.615852468	-1.808261343	8.100936442	255.5505764	1.82E-51	3.39E-49
ENSMUSG00000026669	-1.54405722	-1.953383845	-0.056217712	-0.707245539	-0.538155373	-0.569676423	-0.948339322	4.372656611	255.2270785	2.14E-51	3.92E-49
ENSMUSG00000038991	-0.750109702	-0.78234366	-0.033178827	-0.360521768	-0.127794216	-0.449877253	-0.680753025	7.442668721	255.110998	2.26E-51	4.10E-49
ENSMUSG00000028150	0.299308158	-0.891469933	0.158617837	0.174379256	0.51199674	0.65101204	0.658779557	6.989940318	253.6054678	4.73E-51	8.46E-49
ENSMUSG00000036501	0.915551485	0.859242395	0.090151679	0.437778898	0.515967043	0.657291591	0.837112003	4.891588351	251.7600277	1.17E-50	2.07E-48
ENSMUSG00000025950	-0.535832578	-0.821679885	0.160550561	-0.743450197	-0.154912516	-0.046677391	-0.284718783	8.460400881	251.6640098	1.23E-50	2.14E-48
ENSMUSG00000050541	-0.236011336	-0.854641698	0.101228894	-0.795752997	0.080416323	0.005875462	-0.115615401	5.920288589	250.0351651	2.72E-50	4.69E-48
ENSMUSG00000039395	1.041174006	0.896593992	-0.001367004	-0.046822031	0.229825134	0.560160512	0.830298218	5.327851259	247.460425	9.62E-50	1.64E-47
ENSMUSG00000025283	0.82558982	1.302564764	-0.039926267	0.703001413	0.094898247	0.319826254	0.545636578	5.210690339	243.5203476	6.63E-49	1.12E-46
ENSMUSG00000022617	0.632182952	0.964164317	-0.095796693	0.601691111	0.177443433	0.230022552	0.28002397	5.113177664	241.9857045	1.41E-48	2.34E-46
ENSMUSG00000037379	1.813102488	1.896853019	-0.714980829	-0.593012591	-0.257111132	0.155828004	1.034105323	3.537387366	240.0152381	3.69E-48	6.07E-46
ENSMUSG00000041237	-1.609335022	-2.393584592	-0.197960558	-1.826450827	-0.245394014	-0.415764064	-0.996941153	9.210830945	238.7134747	6.98E-48	1.13E-45
ENSMUSG00000032018	-1.001405638	-1.061317048	0.09398533	-0.978395778	-0.608775334	-0.419298659	-0.816980085	7.838005967	238.0127804	9.83E-48	1.58E-45
ENSMUSG00000034120	-0.354343325	-0.074852054	-0.204432225	0.06853103	-0.392495233	-0.638314066	-0.595525287	5.884873543	236.1155712	2.49E-47	3.96E-45
ENSMUSG00000041845	1.185317777	1.266509992	-0.042051506	0.093511766	0.305731577	0.387102072	0.823332827	4.812711918	235.6739237	3.09E-47	4.86E-45
ENSMUSG00000020190	-0.846980838	-1.163000954	0.482806648	-0.291816808	0.0501802	-0.072935474	-0.413964102	7.738486897	235.5464381	3.29E-47	5.11E-45
ENSMUSG00000011305	1.798477762	1.643421101	0.421792631	0.681158691	0.943886723	1.141894987	1.468124347	7.229410322	235.1071271	4.08E-47	6.27E-45
ENSMUSG00000042115	1.965341599	2.202034853	-0.057970049	0.657358266	0.324536155	1.057678924	1.319307832	1.499528209	234.9929756	4.31E-47	6.56E-45
ENSMUSG00000026179	1.019385328	0.523713346	0.049381584	-0.242195347	0.331388558	0.687352239	1.008435191	7.280463114	234.5906245	5.25E-47	7.91E-45
ENSMUSG00000018427	1.137627664	0.857592047	0.307410622	-0.441251726	0.541105238	0.879435252	1.137436423	4.42898772	233.7369401	7.97E-47	1.19E-44
ENSMUSG00000091586	1.052484054	0.975307653	0.083376587	-0.026038119	0.295828437	0.606650788	0.804052985	3.996665715	233.6960388	8.13E-47	1.20E-44
ENSMUSG00000022241	0.733081384	0.75679631	0.024498454	-0.149891413	0.075985253	0.291015707	0.48993325	6.774235159	232.8378786	1.24E-46	1.81E-44
ENSMUSG00000047446	1.616852137	1.451422424	0.377889857	0.754032688	0.669630223	0.932459056	1.124154479	5.475333739	232.2669991	1.64E-46	2.37E-44
ENSMUSG00000020733	-0.774846708	-1.164745673	0.092804903	-0.337805931	-0.013055301	-0.317421261	-0.58273101	7.447312811	230.3417084	4.20E-46	6.01E-44
ENSMUSG00000045411	0.623614628	1.131451487	-0.344368656	0.225562498	-0.222274824	-0.368120385	-0.246687007	3.157074827	229.7903683	5.50E-46	7.79E-44
ENSMUSG00000057054	0.750111652	1.363293132	-0.113091441	1.113308229	-0.042819097	-0.316639623	-0.19446329	3.715089287	226.7375283	2.45E-45	3.43E-43
ENSMUSG00000020917	-2.765593474	-3.294434149	0.157463394	-2.499798373	-0.838391525	-0.698353315	-1.982290145	8.728687339	226.68597	2.51E-45	3.49E-43
ENSMUSG00000013150	0.866763098	0.637603538	-0.115021161	0.157968369	0.466733893	0.635768807	0.950726283	3.42743172	226.389403	2.90E-45	3.99E-43
ENSMUSG00000006517	-1.685602926	-2.021304332	-0.303134899	-2.213772277	-0.989807526	-1.136974871	-1.480537278	3.264097287	225.418867	4.67E-45	6.36E-43
ENSMUSG00000056749	1.83619373	1.376840678	0.670677036	0.168599299	0.944858146	1.188009159	1.537264128	4.894710556	224.9862113	5.76E-45	7.78E-43
ENSMUSG00000056429	0.756802222	0.61072229	0.038692776	0.338198752	0.338232209	0.631593652	0.794101267	8.572101098	224.5394516	7.17E-45	9.59E-43
ENSMUSG00000066072	1.568131038	1.837977654	0.171254206	1.87211463	0.64899802	0.931233469	1.306864012	11.04338742	221.7940903	2.75E-44	3.64E-42
ENSMUSG00000022512	1.332740205	1.17696981	-0.154239293	0.159466735	0.257228293	0.688260749	1.153778811	4.86177501	221.1674269	3.73E-44	4.89E-42
ENSMUSG00000025077	-0.65657275	-1.014435713	-0.015255356	-0.203508883	0.031277639	-0.141737894	-0.520225052	4.307744601	220.6578153	4.78E-44	6.22E-42
ENSMUSG00000028715	1.25492755	1.617498418	-0.000159835	1.500630278	0.462880435	0.607756354	0.990543011	11.49163855	219.2240206	9.64E-44	1.24E-41
ENSMUSG00000030909	-1.376007195	-1.20650633	-0.317842417	-0.468244343	-0.515402418	-0.485024954	-0.656697309	5.769843996	219.1435538	1.00E-43	1.28E-41
ENSMUSG00000058454	-0.67215029	-1.228192128	0.203582213	-1.541835153	-0.425054842	-0.233093711	-0.706998549	5.646600633	218.8408338	1.16E-43	1.47E-41
ENSMUSG00000060961	0.720998522	0.889602244	-0.080530573	0.23864505	-0.024031874	0.089026536	0.255265845	7.156406149	218.2322324	1.57E-43	1.96E-41
ENSMUSG00000026853	0.838883393	0.845223533	0.092488328	0.512516325	0.165264368	0.383014827	0.622844534	7.437977961	217.7283228	2.00E-43	2.49E-41
ENSMUSG00000020131	-1.534477526	-0.848761163	0.037794006	0.496290743	-0.272175401	-0.906336296	-1.276062959	4.014437022	217.5568907	2.18E-43	2.69E-41
ENSMUSG00000009647	0.824504524	0.789630072	-0.169920807	0.043862948	-0.050330487	0.147756266	0.159916935	3.772340398	217.3180593	2.45E-43	2.99E-41
ENSMUSG00000105837	-1.820237455	-3.165298896	0.24846214	-3.403549541	-0.382011606	-0.171017123	-0.747815944	2.309308772	216.9813672	2.88E-43	3.50E-41
ENSMUSG00000070780	-0.663362658	-0.768843875	0.231419184	-0.117710731	0.183135624	0.213637359	-0.180437439	5.58685457	216.8825691	3.03E-43	3.64E-41
ENSMUSG00000026489	0.834313436	0.616362243	0.164396921	-0.320721414	0.122889437	0.437996779	0.522298609	8.24563833	215.9734508	4.72E-43	5.63E-41
ENSMUSG00000000957	0.696752521	1.241957126	-0.094878628	0.736044346	0.112618732	0.070810316	0.415343571	4.948741824	215.5470051	5.81E-43	6.87E-41
ENSMUSG00000020038	1.317876722	0.36535128	0.59191922	0.385560602	1.186545858	1.564964576	1.866112129	4.222141588	213.6238064	1.49E-42	1.74E-40
ENSMUSG00000006356	1.033797179	0.981035788	-0.064113227	0.274430544	0.164835651	0.383056913	0.778892684	5.526666696	211.844897	3.55E-42	4.12E-40
ENSMUSG00000001774	-0.561481399	-1.183105422	0.32329152	-0.067269892	0.355984711	0.341363183	0.305448732	4.788853257	210.985751	5.39E-42	6.22E-40
ENSMUSG00000057068	-1.450341777	-2.540280656	0.009376419	-1.391110241	-0.306239865	-0.386686024	-1.01301996	3.398332311	209.4936352	1.12E-41	1.28E-39
ENSMUSG00000071655	0.457548597	0.750523199	-0.084756899	0.154769817	0.061773181	0.020338449	0.178937462	6.059577646	208.9383066	1.47E-41	1.66E-39
ENSMUSG00000024921	-0.218447625	-0.71714379	0.141540912	-0.083489371	0.194999774	0.239936204	0.062779441	6.835437343	207.3554528	3.17E-41	3.57E-39
ENSMUSG00000025464	-0.77798395	-0.964698138	0.336185067	-0.632854111	-0.203420389	-0.109977746	-0.467776705	4.550996236	206.9804023	3.81E-41	4.26E-39
ENSMUSG00000029328	0.298867231	0.842765397	-0.103792969	0.209141441	-0.255018399	-0.271799898	-0.38002161	4.687420947	206.6065239	4.57E-41	5.07E-39
ENSMUSG00000021400	0.777292542	0.440896558	0.113271835	-0.072809517	0.383415737	0.628396024	0.77270832	5.513728846	205.1940765	9.11E-41	1.00E-38
ENSMUSG00000029482	-2.007070281	-2.638779648	-0.380606693	-0.860879603	-0.517564843	-0.64313045	-1.113172954	6.397883049	204.2487894	1.44E-40	1.58E-38
ENSMUSG00000025429	-0.954701165	-1.294863794	0.16994119	-1.137195295	-0.340263906	-0.430405207	-0.867389974	3.886848368	203.5178236	2.06E-40	2.24E-38
ENSMUSG00000037885	-0.705295221	-0.83449281	0.173923735	-0.136303249	0.208456612	0.12134717	-0.314719	4.71137961	203.1494513	2.47E-40	2.66E-38
ENSMUSG00000042429	0.551396954	0.872463635	-0.186425521	0.85875818	-0.049414389	-0.259233775	-0.116040412	6.167552394	203.0566524	2.58E-40	2.76E-38
ENSMUSG00000026542	0.461227201	1.296674047	-0.0239642	1.359731843	-0.108195772	-0.268434933	-0.071888397	5.504369301	202.8023052	2.93E-40	3.10E-38
ENSMUSG00000010601	-0.986885134	-1.220300923	-0.176697893	-0.556271045	-0.516966769	-0.904975315	-1.168243068	6.205266653	202.0925894	4.14E-40	4.35E-38
ENSMUSG00000031586	1.072724098	1.138402742	0.11147939	0.484247231	0.242691219	0.515130152	0.743550565	5.176549533	201.5979991	5.27E-40	5.50E-38
ENSMUSG00000095930	1.209482591	1.487443927	-0.30447451	0.072666256	-0.339029169	0.078098661	-0.092958723	1.466282465	201.2436591	6.26E-40	6.49E-38
ENSMUSG00000074398	4.121267469	4.611317251	1.090348212	4.352180656	1.378384174	1.138386396	2.474500329	0.621897345	199.6982243	1.33E-39	1.37E-37
ENSMUSG00000030102	-0.036054102	-0.3321499	0.180692309	-0.119934379	0.537791418	0.602298708	0.445596606	6.690849102	199.044222	1.83E-39	1.87E-37
ENSMUSG00000040170	-0.084976834	-0.13648569	0.528507729	0.865008029	1.149650027	1.059145996	0.932409516	6.050620437	198.7245032	2.14E-39	2.17E-37
ENSMUSG00000038712	0.44166471	0.620386332	-0.18549171	0.211492106	-0.119772986	-0.005326732	0.140424806	6.889499307	196.7063222	5.72E-39	5.76E-37
ENSMUSG00000000056	-0.839543224	-0.672708417	-0.028592343	0.058419807	-0.253643292	-0.639366841	-0.712419154	5.231450057	195.9805493	8.14E-39	8.15E-37
ENSMUSG00000060862	-0.622404992	-1.41066093	0.432104609	0.160382823	0.663730163	0.673770325	0.43549037	3.34434284	195.5697488	9.95E-39	9.89E-37
ENSMUSG00000032116	-0.616746817	-0.678111855	-0.063768842	-0.381818995	-0.110747638	-0.3351403	-0.581757839	6.406309222	194.769861	1.47E-38	1.45E-36
ENSMUSG00000003623	0.862209406	1.028700296	-0.13154253	0.551173257	-0.095137407	0.077488041	0.412508317	9.043593299	194.4194763	1.74E-38	1.71E-36
ENSMUSG00000063919	2.529332584	2.81314756	0.239948331	1.747602935	0.975295337	1.039117471	1.26078525	1.691837143	194.1646897	1.97E-38	1.92E-36
ENSMUSG00000029657	-0.719000974	-1.667858579	0.653619182	0.161898059	0.962701313	0.64310705	0.526451101	5.688855544	193.0464964	3.40E-38	3.29E-36
ENSMUSG00000078817	2.071554854	2.389687736	0.373419812	1.54382951	0.957757454	1.38221985	2.049538805	5.304989913	192.273153	4.96E-38	4.76E-36
ENSMUSG00000094786	-1.186656634	-1.837225867	0.094971117	-0.907747177	-0.276922717	-0.305349205	-0.817017751	3.612946359	192.0446627	5.54E-38	5.29E-36
ENSMUSG00000040128	1.553296433	1.079437489	0.595514405	0.729162481	0.727037972	1.024723912	1.355555619	5.545250719	190.3859159	1.24E-37	1.18E-35
ENSMUSG00000025271	-0.15564698	-0.603613353	0.584939783	0.116726232	0.317271698	0.66077847	0.612573691	5.047437808	189.7332246	1.71E-37	1.61E-35
ENSMUSG00000041891	-0.638634926	-0.77339708	-0.019627905	-0.403597312	-0.096652802	-0.256897974	-0.461915311	7.779983191	189.3869449	2.02E-37	1.89E-35
ENSMUSG00000029385	1.437286752	0.879790032	0.611822889	0.636233884	0.91706129	1.473073311	1.61392286	4.297782426	189.1081403	2.32E-37	2.15E-35
ENSMUSG00000059743	-1.153071155	-1.749085952	0.077076331	-2.005168226	-0.384865898	-0.185248227	-0.463721559	6.616899624	188.8739077	2.60E-37	2.40E-35
ENSMUSG00000029314	1.12884396	1.413262723	0.020754068	0.976889975	0.301629439	0.511866099	0.515549478	4.880542782	188.7391007	2.77E-37	2.54E-35
ENSMUSG00000029003	0.661518298	0.948645397	-0.165979925	0.126684275	-0.061347297	-0.128966792	0.147191448	3.744408626	188.6009452	2.97E-37	2.70E-35
ENSMUSG00000001891	-0.914584988	-0.94614522	-0.183151934	-0.723669955	-0.235009236	-0.306094464	-0.64534707	8.549027667	188.2333635	3.55E-37	3.21E-35
ENSMUSG00000021703	0.482886725	0.63137378	-0.120501894	0.067995421	-0.26721414	-0.10922078	0.029001644	4.998913104	187.9929489	3.99E-37	3.59E-35
ENSMUSG00000028410	-0.472986573	-0.734105264	0.261257827	0.149091499	0.334747602	0.188101202	0.073840196	7.850581527	187.1470764	6.02E-37	5.38E-35
ENSMUSG00000039826	0.26709159	0.843711758	-0.22266106	0.250320389	-0.367909179	-0.405908434	-0.270486961	4.127963179	186.4138945	8.60E-37	7.64E-35
ENSMUSG00000048578	-0.820795613	-1.151413792	-0.147497294	-0.793891581	-0.197886133	-0.33602366	-0.404351363	7.831769186	186.0806615	1.01E-36	8.93E-35
ENSMUSG00000020534	-0.713325541	-0.848690313	0.027353203	-0.573690575	-0.140755885	-0.188248919	-0.392423773	7.589914886	185.1336476	1.60E-36	1.41E-34
ENSMUSG00000022814	-0.856906214	-1.185563468	-0.054159967	-0.853146658	-0.322625794	-0.458102618	-0.693014536	4.631143444	184.7046104	1.98E-36	1.72E-34
ENSMUSG00000028917	0.586024829	0.865903992	-0.085681423	0.13673408	-0.057398227	0.060355542	0.141968913	4.328990823	184.3973654	2.29E-36	1.99E-34
ENSMUSG00000096054	0.781967457	0.809158951	-0.168926439	0.178811204	0.047523731	0.337710968	0.438140586	5.319522691	184.0888049	2.67E-36	2.30E-34
