	logFC.group_allob.ob.12	logFC.group_allob.ob.16	logFC.group_allob.ob.2	logFC.group_allob.ob.24	logFC.group_allob.ob.4	logFC.group_allob.ob.6	logFC.group_allob.ob.8	logCPM	LR	PValue	FDR
ENSMUSG00000034872	-0.254212141	0.214232717	-0.239941938	-0.318453397	-1.006499233	-0.646694133	-0.042624387	-0.176133164	13.75050491	0.055801022	0.096717265
ENSMUSG00000032059	0.097018692	-0.057772017	-0.055001907	-0.251893308	-0.112752478	-0.141520204	-0.128094732	4.124982267	13.74985636	0.055813517	0.096727204
ENSMUSG00000028847	0.019326271	0.057177065	-0.023845392	0.047671408	0.048872991	-0.145278838	-0.122681622	4.690625574	13.74924116	0.055825371	0.096736031
ENSMUSG00000082286	-0.432281659	-0.303246513	-0.095347089	-0.306332709	0.020423441	-0.346174226	-0.634902794	1.338781643	13.74684386	0.055871587	0.096804392
ENSMUSG00000024613	0.04746429	-0.275594847	0.038867287	-0.150611591	0.182836158	-0.093489496	-0.130404331	3.108950419	13.74467812	0.05591337	0.096865055
ENSMUSG00000041650	-0.077978153	-0.170878721	0.069231793	-0.182436664	-0.03252069	0.06920946	-0.0956608	6.993152877	13.74238754	0.055957592	0.09692993
ENSMUSG00000057123	-0.718376427	-0.550893775	-0.088214768	-0.014985659	0.04207419	0.075827622	-0.0730375	0.421296025	13.7409355	0.055985642	0.096956277
ENSMUSG00000056962	0.00350524	0.23778705	0.038193363	0.165767591	0.206633116	0.024926722	0.051885132	3.694426592	13.74089861	0.055986354	0.096956277
ENSMUSG00000097185	0.564848198	0.379249032	0.069820525	0.616682481	0.849820158	-1.33489503	-0.239054353	-1.34563302	13.74015348	0.056000754	0.096969477
ENSMUSG00000030683	-1.383443636	-0.662944894	0.082688139	0.132662069	0.178171627	-0.344658286	-0.604719178	-0.79830986	13.73726703	0.056056565	0.097054373
ENSMUSG00000066637	-0.213071608	-0.211476525	-0.037511703	-0.254547885	-0.123363874	-0.03670915	0.068924232	2.719359515	13.73618385	0.056077523	0.09707891
ENSMUSG00000034126	-0.002686944	-0.222864335	-0.059384174	0.050483633	-0.008390989	-0.050066043	0.079703298	4.66638511	13.73480626	0.056104187	0.09711332
ENSMUSG00000102059	0.722314857	0.657760757	-0.143434185	0.843249298	0.21063761	-0.258488457	0.217091219	-0.616202078	13.73442842	0.056111502	0.097114234
ENSMUSG00000073639	-0.163170179	-0.153551073	0.043807385	-0.017209247	-0.118300818	-0.028668388	-0.120735257	6.216952519	13.72836568	0.056229003	0.097305826
ENSMUSG00000041203	0.135867798	0.009648554	0.009806443	-0.020374182	0.168115021	0.033350685	0.176779893	5.023628971	13.72699757	0.056255549	0.097333935
ENSMUSG00000040734	0.115787904	-0.276121477	0.273083546	0.014826579	0.265601126	0.214711947	0.169722086	2.28897132	13.72681549	0.056259083	0.097333935
ENSMUSG00000097062	0.469140615	0.389913329	-0.089693854	0.010353788	-0.198563686	-0.000642757	-0.316787707	1.055189622	13.72622388	0.056270566	0.097333935
ENSMUSG00000029279	0.315877833	0.112573276	0.010481407	-0.731722667	-0.65564539	-0.333757801	-0.298231386	-0.314165335	13.72612649	0.056272457	0.097333935
ENSMUSG00000064141	0.408509326	0.488677977	0.170315015	-0.341885106	-0.254433052	0.2107632	-0.167865818	0.134189017	13.72340743	0.056325266	0.097413502
ENSMUSG00000011263	-0.21837717	-0.053058511	-0.003146278	-0.058986325	0.040216692	-0.234685727	0.13761642	3.010024473	13.72100599	0.056371944	0.097476037
ENSMUSG00000049191	0.434553345	0.43331497	0.208277932	0.619505433	-0.0451888	0.565590516	0.5493964	0.150904688	13.72084626	0.05637505	0.097476037
ENSMUSG00000024270	0.18447912	0.01804994	0.049220286	0.160729809	0.254113023	0.393913418	0.566041923	1.62472724	13.71692057	0.056451436	0.09759632
ENSMUSG00000023953	-0.357979953	-0.480976233	-0.087863397	-0.244653835	-0.205309673	-0.094324028	-0.3616242	2.303437053	13.71488527	0.056491076	0.097653052
ENSMUSG00000096990	0.276416066	-0.185279819	-0.23965057	-0.344893955	-0.378318055	0.247238943	-0.24851618	0.992207808	13.7119644	0.056548009	0.097739661
ENSMUSG00000022747	-0.016053609	0.590792897	-0.144836694	0.600795901	0.379526951	0.606605441	0.451493149	2.905873978	13.70992059	0.056587878	0.097775811
ENSMUSG00000044026	0.032741965	-0.034597352	0.123912811	0.1542238	0.257316653	0.439683868	0.326665858	5.155175768	13.70985433	0.056589171	0.097775811
ENSMUSG00000030188	0.119378235	0.630144791	-0.20720165	-0.470347624	-0.098779295	-0.010324393	-0.026085893	-0.304056732	13.7098413	0.056589425	0.097775811
ENSMUSG00000034265	0.191771861	-0.067536663	0.025326031	-0.230916576	-0.119596883	0.234274625	0.287996096	1.532167225	13.70706145	0.056643695	0.097857762
ENSMUSG00000033256	-0.25797982	-0.377393227	-0.271674647	-0.308887607	-0.35320226	-0.479533684	-0.47009363	2.611894162	13.70584478	0.056667462	0.097879979
ENSMUSG00000054792	0.117534707	0.143843967	0.049592954	0.149385963	0.261705567	0.29549143	0.279459104	3.340742066	13.70541036	0.056675951	0.097879979
ENSMUSG00000042251	0.069447318	-0.09907441	0.131061968	-0.032557163	-0.05477343	0.130976369	-0.058416735	7.51728233	13.70535272	0.056677078	0.097879979
ENSMUSG00000024393	-0.11417317	-0.14623968	-0.02288746	-0.002531578	0.033862275	-0.112232325	-0.130899855	7.071501749	13.70200028	0.056742625	0.097981352
ENSMUSG00000027367	-0.031064924	-0.013973192	0.019456601	-0.009980672	-0.132681591	-0.153622135	-0.167250433	7.107099027	13.70104407	0.056761334	0.09800183
ENSMUSG00000020716	0.183885284	0.246193191	0.068257453	0.182245811	0.070236233	0.11598196	0.173276625	4.619924369	13.69962941	0.056789023	0.098037807
ENSMUSG00000023805	-0.569282311	-0.307485411	-0.162741715	-0.009991134	-0.066368764	-0.206094916	-0.229173768	2.912316397	13.69360959	0.056906988	0.098228032
ENSMUSG00000028863	0.201647766	-0.064470742	0.01217916	0.017837574	0.191802435	0.299675352	0.103259944	2.915508581	13.69330601	0.056912943	0.098228032
ENSMUSG00000020788	0.288818736	0.406625401	0.177589968	0.221334667	-0.574700295	-0.219455525	-0.053193655	0.687280744	13.69159258	0.056946564	0.098274205
ENSMUSG00000063171	0.011819775	0.185466438	0.151764103	-0.03378423	-0.215892978	-0.27455319	0.134511069	3.904878012	13.69105306	0.056957154	0.098278124
ENSMUSG00000025261	0.102063208	0.099966785	-0.040815712	-0.102306463	0.014951856	-0.016119571	-0.027141299	7.875725839	13.69057547	0.05696653	0.098278124
ENSMUSG00000057133	0.040636752	0.20607573	-0.08001639	-0.023969725	0.005697707	-0.06736708	-0.030279097	3.758855301	13.69042722	0.056969441	0.098278124
ENSMUSG00000027133	-0.166110426	-0.07465236	0.027533278	-0.229991785	-0.091120476	-0.052563344	-0.069385297	5.049334581	13.68868589	0.057003641	0.098325268
ENSMUSG00000025647	-0.064824478	-0.037590101	0.061690983	-0.049382419	-0.23280681	-0.228594348	-0.21502238	4.684608426	13.68229051	0.057129409	0.098530326
ENSMUSG00000086212	-0.453025203	-0.788715623	-0.686241198	-0.352787238	-0.815158119	-0.513833427	-0.84112698	0.813105767	13.67739498	0.057225854	0.098684768
ENSMUSG00000032743	0.086123038	0.110389709	-0.169792195	-0.082852583	-0.041950013	-0.108867784	0.037881779	4.320412035	13.67533377	0.057266506	0.098742971
ENSMUSG00000019139	-0.073927502	-0.316119658	0.141559025	0.15516548	-0.012699268	-0.117119287	-0.034586176	2.564438354	13.67405453	0.057291749	0.098774593
ENSMUSG00000047787	0.971248787	0.551882774	0.200236156	0.066431999	-0.02428798	0.782168784	0.408496747	-0.379460166	13.67192752	0.057333744	0.098835086
ENSMUSG00000037098	-0.165857623	-0.318075799	-0.126488167	-0.156772332	-0.024353699	-0.063604963	-0.133817427	4.478423938	13.66725342	0.057426127	0.098982415
ENSMUSG00000092341	0.127887041	0.39436161	-0.262089836	0.068348457	0.218116886	0.172382693	-0.014937875	6.942482539	13.66430051	0.057484561	0.0990712
ENSMUSG00000023104	0.089194325	-0.144417197	0.125608679	-0.038467317	0.184132865	0.173140533	0.151835845	3.853678206	13.66258416	0.057518551	0.09911784
ENSMUSG00000055980	-0.036467152	0.053868804	0.021258518	0.058593848	0.293069257	0.304341695	0.19457768	4.014580018	13.66176759	0.057534728	0.099126864
ENSMUSG00000026761	0.057009583	-0.199899024	0.217529702	0.124589439	0.048538768	0.069297418	0.134070721	3.337094058	13.66162048	0.057537643	0.099126864
ENSMUSG00000049960	-0.096840125	0.060255848	0.051480096	-0.14515162	0.011267859	-0.063223599	-0.140809961	4.253923118	13.6544215	0.057680453	0.099360935
ENSMUSG00000015942	-0.378991828	-0.340158918	-0.143040103	-0.067803706	0.092111834	-0.075408116	0.170764639	2.203741976	13.65301464	0.0577084	0.099397109
ENSMUSG00000032679	-0.090216674	-0.167531997	-0.086272746	-0.145108063	-0.179115889	0.014812433	-0.016911812	6.481983757	13.65049999	0.057758383	0.099471226
ENSMUSG00000051335	0.139789502	0.039491948	-0.248891807	-0.189948389	0.029519651	0.160867885	0.249411299	2.222996349	13.64928047	0.057782638	0.099501021
ENSMUSG00000032253	0.060008033	0.039628807	0.089323399	-0.092961343	0.012545084	0.321578714	0.233985774	3.289750689	13.64759568	0.057816162	0.099546768
ENSMUSG00000028461	0.129749241	0.253680691	0.021470198	0.158784211	0.17709771	0.104307687	0.111274817	5.619577275	13.64641939	0.057839578	0.099572852
ENSMUSG00000007989	-0.50005398	0.258659085	-0.327909439	0.295532969	-1.138711053	0.730513274	0.896290075	-1.797084537	13.64613554	0.05784523	0.099572852
ENSMUSG00000029260	-0.17504152	-0.263192697	-0.005655966	-0.236711015	-0.051055303	-0.056343566	-0.09695462	8.95063682	13.64556403	0.057856611	0.099580463
ENSMUSG00000020876	-0.056403761	0.240941588	-0.116025307	-0.188815363	-0.106795258	-0.189246621	-0.140201931	3.216383914	13.64155266	0.057936552	0.09970606
