"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000021750"	7.01718171949684	3.90916931280025	7.36873449622263e-148	8.96185489430597e-144
"ENSMUSG00000066072"	2.66083243416995	9.99465464266093	1.42072214899652e-114	8.63941138804785e-111
"ENSMUSG00000023067"	5.50142936568212	4.80804601796221	2.15284627752744e-110	8.72763880909623e-107
"ENSMUSG00000059824"	-3.29160881090544	6.32727445007985	9.01618879740136e-101	2.74137220384988e-97
"ENSMUSG00000022270"	1.85984035948193	6.66474702370411	4.53739960219551e-85	1.10367707923804e-81
"ENSMUSG00000072949"	3.00267294235668	6.89475991111461	2.68058629181564e-80	5.4335484135103e-77
"ENSMUSG00000011305"	2.362183551557	6.62174503640097	4.39127826216172e-77	7.62953231777298e-74
"ENSMUSG00000003721"	2.10782210516662	7.24168940764289	1.64408296031166e-76	2.49941712041379e-73
"ENSMUSG00000020538"	-3.33723265841489	8.68873294144798	2.61527468714974e-76	3.53410786056835e-73
"ENSMUSG00000090264"	3.23221789157586	7.20290066194204	2.40256013478568e-74	2.92199363592635e-71
"ENSMUSG00000044254"	-3.1198228617196	5.47389789082791	4.06608681678326e-71	4.495613442338e-68
"ENSMUSG00000056608"	2.53814735414781	7.61100394439756	6.82290370028645e-67	6.91501290024031e-64
"ENSMUSG00000078234"	-3.05717945733851	4.6289574289122	9.32227638409453e-67	8.72134810641213e-64
"ENSMUSG00000105703"	3.87621639826982	7.75867807919273	1.12252926228687e-62	9.75157206280923e-60
"ENSMUSG00000002831"	3.1492417202315	5.25716900492874	3.13808425229806e-58	2.54435871176327e-55
"ENSMUSG00000078817"	2.34293662376044	6.14212095383437	1.59838725050279e-55	1.21497410878843e-52
"ENSMUSG00000052934"	1.599527381226	7.14516457869053	1.73893399757619e-53	1.24405383991303e-50
"ENSMUSG00000015357"	1.6139163372842	6.81838176265283	6.21609057969785e-52	4.20000520168252e-49
"ENSMUSG00000020889"	-2.29191477633159	5.47620655524918	1.92782343624519e-51	1.23400992797968e-48
"ENSMUSG00000063730"	-1.43410588138476	5.67421437510062	4.2911250790395e-49	2.60943316056392e-46
"ENSMUSG00000025089"	1.24424074838612	8.15932946619273	1.65497340663601e-48	9.58466027214625e-46
"ENSMUSG00000056091"	2.22123559330634	8.62598091297368	7.68040667144023e-48	4.24586845172982e-45
"ENSMUSG00000010601"	-2.05350574760763	6.60520850210912	4.14888501109953e-47	2.1938582393475e-44
"ENSMUSG00000024589"	1.40708627150724	5.30857693248938	3.42507798606806e-46	1.73565826943999e-43
"ENSMUSG00000031762"	3.48618724581759	7.38658178601388	6.54376300562142e-46	3.18340982697471e-43
"ENSMUSG00000090038"	1.74152733229674	3.34774183606449	4.12286441270234e-45	1.92854911489561e-42
"ENSMUSG00000047446"	1.49238304718995	4.67742385473869	5.91164362631243e-45	2.66286702900784e-42
"ENSMUSG00000028715"	2.41752148753374	10.2701002520557	1.13919184079705e-43	4.94816113134776e-41
"ENSMUSG00000031765"	3.07402085839373	8.26399536219064	2.43825217945584e-43	1.02255251746696e-40
"ENSMUSG00000055116"	3.29341071384254	2.77771625782493	3.58669522524443e-43	1.45404624431409e-40
"ENSMUSG00000024222"	2.70320654994408	7.64443853498506	1.74195482911321e-42	6.83408213924997e-40
"ENSMUSG00000101517"	1.62413505206465	3.99359227016283	8.39171145725797e-42	3.18937483572411e-39
"ENSMUSG00000024580"	1.32311597684434	5.62252204494795	7.66368162607901e-41	2.82441502837494e-38
"ENSMUSG00000018900"	1.50464269137615	5.63339724721567	8.32747391634134e-41	2.97878640501598e-38
"ENSMUSG00000020038"	2.33053280067843	4.39428140506731	1.29025928557385e-40	4.48346669461404e-38
"ENSMUSG00000056234"	1.24518436752862	8.06855027512283	2.28972349147801e-40	7.73544919537655e-38
"ENSMUSG00000037797"	-1.13016894020701	5.85613389166595	3.41960641499754e-40	1.12403387078919e-37
"ENSMUSG00000035811"	-1.45638872235015	8.0182939753292	5.78145246991452e-39	1.85036907734475e-36
"ENSMUSG00000029385"	1.85089888249942	4.0104313754487	1.44343976451283e-38	4.50131138871923e-36
"ENSMUSG00000087382"	2.30427559735737	2.53419003461563	2.25922152069063e-38	6.86916303365985e-36
"ENSMUSG00000029314"	1.61296437340781	3.60434890040735	1.81498401404311e-37	5.38386233629081e-35
"ENSMUSG00000003134"	1.88261403933569	5.07064087776701	1.91544197235064e-37	5.54657268279248e-35
"ENSMUSG00000030483"	1.92010237599328	8.91803316521417	2.42541020567911e-37	6.75545477982252e-35
