"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000015357"	1.62625926494583	7.1223665632475	1.5586732763967e-68	1.94709465687476e-64
"ENSMUSG00000023067"	2.42697558478111	5.76791965516497	1.66358956224402e-66	1.03907804057761e-62
"ENSMUSG00000059824"	-2.51168367075025	5.71136485362785	1.33617754560213e-64	5.56384329988726e-61
"ENSMUSG00000020538"	-1.62053095259577	8.5911512150845	6.80969340995948e-55	2.12666725193034e-51
"ENSMUSG00000011305"	1.13732555769384	6.77966241116285	1.01133291031475e-40	2.52671414313037e-37
"ENSMUSG00000008035"	-1.54102105271749	6.15699250320787	3.98619585783288e-39	8.29925977600806e-36
"ENSMUSG00000029385"	1.46190503214644	4.14474527904986	7.55123331034504e-39	1.34757152161186e-35
"ENSMUSG00000002831"	1.29785778619084	6.41537706401857	2.11709590940811e-38	3.30584526254076e-35
"ENSMUSG00000055116"	2.66217030989449	2.83668275647152	1.95936181171749e-36	2.71959419466387e-33
"ENSMUSG00000025195"	0.899382853188147	6.05048765155303	1.49406991423463e-32	1.86639213686191e-29
"ENSMUSG00000034837"	-1.67367175244657	3.16175631831566	6.02545864693218e-31	6.84272994704334e-28
"ENSMUSG00000032786"	-1.23572540518366	9.46929860464631	2.43023480137839e-29	2.5298744282349e-26
"ENSMUSG00000029009"	1.59366264007407	4.19381455784811	9.52704376513889e-29	9.15475620877807e-26
"ENSMUSG00000056608"	1.28778791571488	7.28920867494262	1.89151358846464e-27	1.68777055336431e-24
"ENSMUSG00000020889"	-2.05934769653174	4.85875563894653	3.70975444347132e-27	3.08948350052291e-24
"ENSMUSG00000101517"	1.23643187420758	3.75366176473812	4.30867414205849e-27	3.36399733641217e-24
"ENSMUSG00000020038"	1.57012444044993	4.12408694095737	1.47204676345072e-26	1.08169459817802e-23
"ENSMUSG00000072949"	1.77832974393328	6.55137189674234	5.05849715873467e-26	3.51059702816186e-23
"ENSMUSG00000043091"	-1.01590084811256	7.42971311597842	6.11467700313409e-26	4.02023921700795e-23
"ENSMUSG00000089712"	2.12679058970082	3.1418070048284	1.34011335771696e-25	8.37034803230012e-23
"ENSMUSG00000002289"	1.03491592232565	7.29181087907746	6.21954131497584e-25	3.69973857650849e-22
"ENSMUSG00000110386"	1.89351547348681	2.2030761343859	2.36249718091859e-24	1.34146885381977e-21
"ENSMUSG00000070284"	-1.06219198524118	3.90922040775171	4.33341542705571e-24	2.35360980499043e-21
"ENSMUSG00000052934"	1.19998877961466	6.21177301737799	5.01188401060431e-24	2.60868562751954e-21
"ENSMUSG00000019577"	1.69038904924479	5.09354036978147	8.33396755880587e-24	4.16431690978412e-21
"ENSMUSG00000036478"	0.884196341078727	5.73079429690515	1.19329671415515e-23	5.73333175124081e-21
"ENSMUSG00000063268"	-0.958187197506723	4.34610472383564	1.58359022340099e-23	7.32674410026859e-21
"ENSMUSG00000105703"	2.75930150029652	7.15076858809702	4.10379256788737e-22	1.8308777413589e-19
"ENSMUSG00000024589"	0.775178380660923	5.56038386983256	5.2984126146683e-22	2.2480238836434e-19
"ENSMUSG00000044254"	-0.901666687384387	5.17286477495538	5.39871249674207e-22	2.2480238836434e-19
"ENSMUSG00000022797"	-1.5235446876128	5.05679305420932	6.13505414647417e-22	2.47222891605662e-19
"ENSMUSG00000027429"	-0.854912893607787	5.38740727229356	1.00171915228529e-21	3.86868076834856e-19
"ENSMUSG00000030483"	1.29064072286287	8.33429363085202	1.02198579375202e-21	3.86868076834856e-19
