"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000015357"	1.00552330702747	6.69107830645336	1.59941702696912e-35	2.01462568717031e-31
"ENSMUSG00000020538"	-1.46611361540685	8.63787171163226	1.71703191198446e-33	1.08138669816781e-29
"ENSMUSG00000072949"	1.25535000050205	6.17750686872752	1.9120751414866e-24	8.02816616072172e-21
"ENSMUSG00000023067"	1.71962602310991	5.21300871800214	2.55852690803771e-23	8.05680123341075e-20
"ENSMUSG00000011305"	0.944506644237338	6.66077508725224	3.92161255475846e-22	9.87932634794752e-19
"ENSMUSG00000056608"	1.01113719313104	7.10832649301974	2.70947695358762e-21	5.68809528456495e-18
"ENSMUSG00000031767"	-0.829775695214996	6.68068031849796	1.94025334202162e-18	3.49134729944347e-15
"ENSMUSG00000040170"	1.15106114746902	6.11529539952707	5.52742900860159e-18	8.7029369740432e-15
"ENSMUSG00000034837"	-1.15920116142142	3.27039611698994	1.00688933039524e-17	1.40919755618427e-14
"ENSMUSG00000024222"	1.48751078649131	7.06568309466829	1.63300651502358e-17	2.0569350063237e-14
"ENSMUSG00000047153"	0.698360146442483	5.04162248608005	6.35612789321754e-17	7.27834426754256e-14
"ENSMUSG00000025195"	0.677342936529536	5.92190800432151	1.2089253126342e-16	1.26896860316169e-13
"ENSMUSG00000057346"	-1.11086917635514	3.6267042472046	1.38886932639834e-16	1.34570754117796e-13
"ENSMUSG00000008035"	-1.13262476537943	6.27387274916279	1.63578340191045e-16	1.47173769503314e-13
"ENSMUSG00000063268"	-0.796868860929277	4.4012799488836	4.37397305485703e-16	3.65628101791765e-13
"ENSMUSG00000029385"	0.915074926162723	3.79452861672819	4.64437093416024e-16	3.65628101791765e-13
"ENSMUSG00000056749"	0.943825579145662	4.35703176594429	1.03505815408057e-15	7.66917206399933e-13
"ENSMUSG00000096688"	-1.13969378210663	3.39817692869319	1.3568304425407e-15	9.49479791902369e-13
"ENSMUSG00000047822"	-1.33646016226951	5.71717649377895	1.76555505157307e-15	1.17047007524286e-12
"ENSMUSG00000024589"	0.655168398639537	5.49838510172983	2.84566867906441e-15	1.79220213407477e-12
"ENSMUSG00000024978"	-0.960607215453774	9.3275937429934	4.77966486528102e-15	2.86688850681332e-12
"ENSMUSG00000016239"	1.14014327849541	2.29594496082278	7.73332252365531e-14	4.42767865945283e-11
"ENSMUSG00000040128"	0.726910351025383	5.00808360761799	1.43010840452346e-13	7.83201976668584e-11
"ENSMUSG00000090038"	1.12724381162956	3.16009879961123	2.16831793575745e-13	1.13800552995004e-10
"ENSMUSG00000041827"	-1.04907216830027	3.42614348742345	3.12092229322525e-13	1.57244548821861e-10
"ENSMUSG00000043091"	-0.848753670778233	7.49323766700344	3.74361390179978e-13	1.81363695027192e-10
"ENSMUSG00000052934"	1.02743639955911	6.1042138796934	1.08021436595944e-12	5.03940005689818e-10
"ENSMUSG00000026491"	0.63659126370335	6.04839236811807	1.63744804932563e-12	7.36617701046629e-10
"ENSMUSG00000002289"	0.842387802166225	7.17488506983281	2.20775831254852e-12	9.58928403615901e-10
"ENSMUSG00000036292"	-0.680978540224008	4.62769700291271	2.63466975770716e-12	1.10621000893598e-09
"ENSMUSG00000055116"	1.64776997012688	2.06993992344166	2.83865487822296e-12	1.15340957568053e-09
"ENSMUSG00000025153"	-1.28138860287615	10.8494634598107	3.44432595833295e-12	1.35577280534881e-09
"ENSMUSG00000020038"	1.18781266521377	3.87631212273998	9.81860426251331e-12	3.74773149365508e-09
"ENSMUSG00000047446"	0.678134583693344	4.90495531736094	1.33330647378626e-11	4.9395083364152e-09
"ENSMUSG00000029657"	0.966711441308046	5.99391831262919	1.42854471125668e-11	5.14112833799691e-09
"ENSMUSG00000028525"	-0.899495778238761	3.55137619488209	1.69596613720359e-11	5.93399707339346e-09
