KEGG ID,Name,S25,S26,S27,S67,S68,S31,S32,S72,S73,S74,S35,S36,S37,S77,S78,S41,S42,S82,S83,S84,S45,S46,S47,S87,S88,S51,S52,S92,S93,S94,S97,S98,S102,S103,S104,S55,S56,S57,S61,S62,S28,S29,S30,S65,S66,S33,S34,S69,S70,S71,S38,S39,S40,S75,S76,S43,S44,S79,S80,S81,S48,S49,S50,S85,S86,S53,S54,S89,S90,S91,S95,S96,S99,S100,S101,S58,S59,S60,S63,S64
C00459,dTTP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C00063,CTP,0.0789534526862029,0.0464329895612885,0.0474818885682946,0.040643546669598,0.0543165092109625,0.0196884793502047,0.022470266195211,0.0192414296928247,0.0109493346127678,0.049755420960779,0.0300058174238369,0.0122911282574947,0.0206577396200828,0.010876798939915,0.0234611569953444,0.0192799632121341,0.0201816019776952,0.0136433897113811,0.0164497826925608,0.0225609957278147,0.0139442654958261,0.0176850825054471,0.0112338274837504,0.0182142278853257,0.0184186276813462,0.0160912466569315,0.0159265565044117,0.0154271291513903,0.00831996233517456,0.0176948051550437,0.0118427257137576,0.019797410713821,0.0165861122686797,0.0226510945625883,0.0141488789374111,0.00688600156538346,0.0117931263173473,0.0149285279857373,0.00671951527231398,0.0093505703515193,0.0324250314792281,0.0376891968340874,0.0300948560694246,0.0477026829086634,0.075935976379199,0.0483869958260168,0.0235581007621668,0.03281154300243,0.0487280012455938,0.0380859150476077,0.049732842673101,0.0458023887875529,0.0481803815131806,0.0185105285403953,0.0151368621501589,0.0207403667347494,0.0226008310645218,0.0215509235595933,0.0382906728228749,0.0492622605371527,0.0259210283352458,0.0339973242520078,0.031771492587508,0.0365343956299661,0.0229571763442577,0.0205439881991122,0.0173767566015023,0.0345776821884973,0.0162577136022279,0.0214503694432383,0.0330584996009975,0.0221366489455762,0.0276544181968719,0.0265409587052827,0.0383338419045569,0.0368765186532255,0.0365024929012713,0.0341854523788132,0.0465496697182748,0.0397745928072672
C00075,UTP,0.840303165015601,0.523736087927569,0.513162337214028,0.516600952217342,0.449245503688006,0.258253366552953,0.343322275201216,0.261357002561085,0.163493604661947,0.593283714621385,0.383594072454274,0.0798180296533599,0.315170447422402,0.228966307718472,0.356071506839446,0.176621155696889,0.210350439381017,0.276464148834131,0.162279013086994,0.238930063868498,0.126727785970036,0.224597107673586,0.0937799453188205,0.191802219567945,0.244926385712118,0.362341210359015,0.226492892547555,0.273611421927594,0.1584650623341,0.229054207494311,0.157933987775689,0.274933488770085,0.218160148261015,0.461588131064048,0.192931021306575,0.110405741230806,0.153448597780361,0.212142764462004,0.0790760588235987,0.0954768281775741,0.22415365561121,0.317977182135511,0.299284793695869,0.326339014454718,0.509403729420569,0.286801062626069,0.221958993753618,0.222966862041198,0.296178630364797,0.228643676007651,0.465882896332792,0.524558397066574,0.397827209439119,0.169219486874761,0.145584044552639,0.234295514096423,0.254992365663153,0.178704924546086,0.325512671203372,0.378191155145341,0.252421563140219,0.350908795583026,0.317221146135561,0.29375322133371,0.173290579383314,0.234310180851562,0.232445439029539,0.29017074094526,0.335821622614365,0.228311516344245,0.354085679407202,0.244345852160964,0.370038172338659,0.270127748493005,0.298974436652345,0.388217601183395,0.3366647246842,0.319903285084313,0.453204506490308,0.338655162167103
C00131,dATP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C01345,dITP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C00002,ATP,7.96970824911851,5.24250890888605,4.78955150486398,3.91582927398575,3.94299785072208,2.48018360319016,3.01220162428385,2.01334233469617,1.65866822658204,3.83922741002404,2.55644126503975,0.99887611712236,2.37317426550404,1.80900409237794,2.43612104876474,1.95859680616726,1.78370992417605,2.13890709593529,1.50583899328122,2.01403408720686,1.31911385762933,1.90698633081097,1.18244389567783,2.00691604924222,2.02837196672664,2.64652892607464,2.04127420906697,1.94349096593256,1.39287868514871,1.78882910366929,1.53930230042364,1.98422047846646,1.77455084183361,3.16304879519476,1.87752753945787,1.05491274069723,1.38014365186426,1.53783529227584,1.00152572507792,1.09446201129037,2.33042389570101,3.38065511155738,3.3397109411397,3.4341903032057,4.58124777318907,2.99555830144419,1.91788282470676,2.23706594996105,3.49187723177673,2.14153788734957,3.81749487240727,4.53556586519333,3.50655803519351,1.70375359131614,1.39703914467992,1.63409762233036,1.87300807896531,1.62794037162991,3.18499597444225,2.73816845145507,2.06133358728941,2.61301184576587,2.44445149909136,2.50671857126901,1.62120438280326,1.9028809754174,1.81528852998413,2.21425269362751,2.55854277955742,1.98360972928383,2.70499470258669,2.32244949327626,2.97693814479103,2.28785158314702,2.70739257215492,3.38322634062806,2.97666910840095,2.60892400857914,3.730916296284,2.99494920621415
C00286,dGTP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C00081,ITP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C05122,Taurocholate,2.69858946118486,1.04152278995915,1.81560178752047,3.00888945455188,3.58356576565053,1.40430391357852,0.961947381494578,1.50163219721809,1.32983189456631,2.45271338982776,0.893784273304257,1.19905938694109,0.767965447990171,4.70863400606878,0.828479445071575,2.22750196293574,2.03458372925338,1.10090681764173,2.06543199120947,1.57662431183352,2.12016825567687,1.44637558227189,1.91170510402903,1.6581524544736,1.92838306461389,1.83265214822993,2.31521074312785,0.879252337708545,1.74365199658991,2.59061818003219,2.05180358067575,2.13212621337738,0.900765049168428,1.97773627286673,1.28578561483166,2.20204755659549,2.62460188946017,1.70564350456334,1.95104589531225,2.42714715985153,1.42232101347431,1.65846769869785,2.08698003882518,3.3694478152066,3.28452293686371,2.52884158551297,2.79496928619568,2.2209235597874,1.87495426823261,2.17369188616287,6.97220273494207,4.16721522102685,2.70269724642947,3.55470868908824,1.13234438437331,2.8367310313246,2.0574552783968,1.94266282458009,3.14525362537457,3.81144035083162,1.6244336772145,2.65192311765104,3.2936207486605,2.61023367689815,2.26271522119792,5.79670481447328,3.46365711955008,2.73483415553953,1.01130701352325,1.7237473465743,2.06034831563863,4.37568366116516,2.09765831061361,2.76603151617386,1.84921771323335,7.2764837188383,4.196025959357,4.62218662978864,4.37337532547618,7.79438835388303
C00044,GTP,0.656791320902565,0.428670723072223,0.390258507754794,0.348257387572201,0.355959485432168,0.258653295810717,0.330377677226748,0.221336297470608,0.182161157393982,0.411220779315847,0.276095127401726,0.116830573234548,0.301778168327881,0.219013510174567,0.258606672346516,0.228079196393745,0.201176327552286,0.243230797922035,0.161832205639668,0.276690657355499,0.16902508226076,0.222214715034564,0.12826176444855,0.241925699700677,0.233769978930185,0.327283555782861,0.204087923711578,0.21551164707249,0.158708163163916,0.216041310247491,0.173566636624634,0.2179913997291,0.204208926442214,0.343306766539184,0.211349639436109,0.121983074977792,0.150888309942581,0.161246446707791,0.115693985829081,0.0996274505150433,0.145156959911804,0.272983713509594,0.263411678691782,0.263032802817179,0.342064542592868,0.245267434592166,0.158874072343912,0.189539875245735,0.200654290413113,0.160166351117997,0.324559415517697,0.403385278720291,0.32103787338423,0.130564228278078,0.118435061458903,0.155501682134697,0.183911732131225,0.129039336756233,0.261391312553878,0.230887996038437,0.198921916042974,0.207932397910592,0.220993504847738,0.2417021495462,0.165028662510549,0.166180158416361,0.153774305151853,0.196860159260687,0.299503253587557,0.19401876927371,0.254741175834958,0.193994242591976,0.289383184522099,0.243743349614329,0.222608431509125,0.28071819997203,0.240854749398736,0.231210253469622,0.294921974356388,0.256805841256839
